Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-1280.7854	312.9542	-755.6833	-1753.2418	-899.3585	518.0682	-126.327705	-1389.219	200.0	200.0	3999	-40.36773	27.935843	1.1895252	-109.9168	39.28461	10.968175	17.46430730819702
2	-1246.4956	271.57208	-859.7859	-1705.1669	-445.0943	491.2113	-1.8692195	-1491.5002	200.0	200.0	7999	-90.98632	40.055847	22.705755	-183.48294	87.91716	36.845562	39.82884168624878
3	-666.9536	494.67566	-1.3814547	-1541.4082	-145.70798	104.89948	-1.139267	-349.72568	200.0	200.0	11999	-99.40482	66.39175	57.902473	-234.13136	94.61272	58.533356	63.18481159210205
4	-137.32693	90.07051	-1.3316704	-353.68698	-61.079857	76.30529	-2.8903935	-226.74231	200.0	200.0	15999	-58.221657	82.52541	55.018814	-243.3176	53.9551	40.47114	87.00996232032776
5	-121.06362	74.83598	-1.7178112	-251.83615	-141.47818	87.43845	-0.5620389	-242.27689	200.0	200.0	19999	-34.196045	74.558624	49.239	-234.55429	31.087925	27.914953	110.85397100448608
6	-152.19585	68.72733	-2.2586238	-294.5217	-143.5109	85.90371	-4.038609	-347.30142	200.0	200.0	23999	-24.690817	68.80044	42.00956	-217.82402	22.21266	19.826313	134.5367615222931
7	-173.25253	84.22839	-4.3115816	-322.1995	-133.27652	34.946926	-115.997475	-237.6416	200.0	200.0	27999	-21.401962	66.38119	40.950233	-214.09673	19.374777	18.28831	157.79200172424316
8	-145.2324	60.25946	-2.9496717	-251.55348	-129.28482	98.87874	-1.4722219	-365.06375	200.0	200.0	31999	-18.64656	65.04316	43.06638	-217.68848	16.74466	17.993473	181.58363008499146
9	-161.27081	67.61152	-114.62331	-350.8804	-208.4904	82.67812	-114.75948	-339.96518	200.0	200.0	35999	-15.51457	63.599953	40.100563	-219.4365	13.839754	16.555738	205.17263913154602
10	-123.56482	76.85874	-1.0539533	-237.41063	-156.57222	52.18264	-118.07275	-236.73645	200.0	200.0	39999	-13.699256	61.06135	34.695423	-218.14035	12.203548	14.15135	228.58796095848083
