Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-204.5942	127.42493	-9.120584	-516.8073	90.59091	-0.16900992	0.07379487	-0.018659664	-0.43370897	4000	0.0019921327	16303.49	0.0	-1864.5322	1.3789955	-3.5762787e-10	5.646852016448975
1	-168.16771	94.59103	-1.8765522	-425.92694	84.34042	-9.000559	0.70622414	0.039394915	-9.577947	8000	0.0061281673	9804.334	0.0	-1008.5625	1.3783642	-3.7252904e-10	12.099447011947632
2	-215.41959	119.62149	-53.480076	-512.32135	91.023254	-15.212881	0.73289573	-3.772607	-15.355698	12000	0.0058902935	13930.672	0.0	-1220.0938	1.3794539	1.0728836e-09	18.722962379455566
3	-192.75197	121.59644	-2.9609907	-551.7243	90.431816	-21.483622	0.06541812	-19.782318	-21.530407	16000	0.0033412473	11236.211	0.0	-802.6543	1.3795862	1.7732382e-09	24.17829704284668
4	-179.3654	104.62695	-25.517826	-483.6727	92.71429	-26.5796	0.073634125	-24.391249	-26.607887	20000	0.001106088	7815.4385	0.0	-572.3677	1.3802419	-1.2814999e-09	29.847962856292725
5	-210.37259	124.10394	20.787893	-467.37512	95.39024	-30.915861	0.21452244	-24.29969	-30.962732	24000	-0.000107254265	10826.64	0.0	-696.46484	1.3791308	-9.23872e-10	36.417970418930054
6	-184.26653	91.173195	-23.153448	-408.2988	94.92857	-35.72051	0.17386632	-32.35934	-35.75187	28000	0.001099828	6318.2764	0.0	-500.03955	1.3794705	8.046627e-10	41.70471429824829
7	-174.39636	127.66751	46.294243	-460.8192	92.34884	-39.918686	0.062116444	-38.972675	-39.932755	32000	0.0030318021	7934.074	0.0	-408.8706	1.3793225	-6.556511e-10	47.4660747051239
8	-174.3696	110.19185	-55.2033	-505.48898	94.40476	-43.768845	0.04927797	-42.71503	-43.77901	36000	-0.0016190488	6147.5093	0.0	-371.92188	1.3797418	-2.0116568e-09	53.289361000061035
9	-203.28156	105.218575	-26.159044	-459.20563	92.71429	-47.503693	0.033026785	-46.67006	-47.5109	40000	0.003260459	6601.198	0.0	-472.33984	1.3784999	4.768372e-10	58.953102827072144
