Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	-175.63191	108.16802	-35.91243	-419.5908	105.75676	-0.11565303	0.075635575	0.018079946	-0.8810048	4000	-2.449751e-08	10822.384	-0.009310764	-2988.1196	0.0028239375	0.0	5.703638315200806
1	-149.93877	126.277	42.4553	-504.00894	110.02778	-17.507406	3.6772845	-7.8419213	-53.086548	8000	1.6450882e-08	7471.057	-0.011482056	-3568.9043	0.00396441	0.0	10.479161739349365
2	-170.59128	89.86355	-38.044613	-413.3322	114.11429	-75.19567	12.319638	-31.569046	-185.84395	12000	1.0579825e-09	2295.0745	-0.017221482	-374.1073	0.005434926	0.0	15.141140222549438
3	-146.89215	100.86495	70.572975	-321.54468	157.88	-83.29941	18.303387	-35.128933	-249.86124	16000	-1.0728836e-09	3606.9204	-0.01294023	-1421.9648	0.0041394294	0.0	21.42557954788208
4	-124.457245	86.36156	21.415392	-430.4737	117.47059	-66.76264	13.22176	-35.80898	-180.9087	20000	-7.7486035e-09	1903.9833	-0.012713164	-292.8678	0.0034087645	0.0	26.22345733642578
5	-92.1596	54.145344	-21.640173	-256.8264	128.25807	-60.247673	7.5318346	-40.381252	-127.255066	24000	2.002716e-08	1214.1748	-0.012040523	-367.5697	0.0046989685	0.0	31.021936893463135
6	-77.41354	47.63479	9.005497	-198.80624	122.09375	-46.458817	8.937611	-26.812262	-106.565865	28000	-6.198883e-09	859.71185	-0.013464161	-169.672	0.005289592	0.0	35.90350842475891
7	-71.645035	57.429165	20.542686	-233.11563	141.35715	-38.023766	10.786575	-21.11945	-155.53015	32000	1.3411045e-08	1421.4689	-0.012519784	-157.45837	0.0042697736	0.0	40.93177151679993
8	-65.865036	56.14744	39.282566	-201.28209	142.35715	-34.091152	13.855562	-15.576331	-173.67162	36000	-1.0311603e-08	809.11615	-0.01610563	-142.3244	0.0056038285	0.0	46.027573108673096
9	-49.619526	45.599976	18.322466	-151.3887	161.25	-32.100487	17.72379	-10.95785	-137.60397	40000	-1.2159347e-08	734.27795	-0.0136493845	-165.47559	0.005171425	0.0	51.73903298377991
