Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-152.18703	88.06957	10.656995	-398.8647	88.61364	-0.31925696	0.076684	0.139257	-0.54474115	4000	0.004626855	9517.65	0.0	-243.51855	1.3763945	1.6689301e-09	4.178243398666382
1	-151.9462	98.33614	30.21337	-422.94843	87.73333	-1.9003282	0.36928886	-0.14067023	-2.8702817	8000	0.0054042414	9621.756	0.0	-406.40527	1.3776513	4.1723253e-10	8.256452560424805
2	-173.10303	85.35291	-41.310944	-420.65567	94.35714	-4.1223717	0.9809938	2.3870568	-7.0215025	12000	0.0034086904	10222.248	0.0	-649.0996	1.3770767	-9.0897084e-10	12.281167984008789
3	-155.61739	89.837166	25.710646	-427.59943	81.791664	-8.006772	1.4521774	4.6366787	-11.030862	16000	0.0054133786	9330.759	0.0	-644.63086	1.3783656	-4.1723253e-10	16.567373752593994
4	-157.09882	87.22185	35.36047	-358.61322	84.42553	-12.020701	0.923674	-0.0739938	-14.366746	20000	0.00019313836	8166.459	0.0	-565.61475	1.3772742	-7.599592e-10	21.282713413238525
5	-169.42218	86.922516	-68.96729	-418.39636	90.47727	-15.900996	0.7440811	-6.649913	-18.109648	24000	0.0028790913	7820.7715	0.0	-564.9253	1.3759135	1.0430813e-09	26.165528297424316
6	-146.69688	75.70622	2.701408	-328.80026	89.34091	-19.638706	1.0137699	-4.399349	-21.744604	28000	0.0014990596	5407.9194	0.0	-335.45898	1.3787479	-1.6391277e-10	30.852132558822632
7	-140.64137	88.548706	7.4551587	-429.85107	89.15909	-22.605936	1.59344	8.538384	-24.59442	32000	0.0011465955	5822.2373	0.0	-315.38916	1.3787352	3.427267e-10	34.87698698043823
8	-147.60432	88.86545	-21.183722	-401.42825	87.28889	-25.487953	1.3011959	7.0458007	-27.100317	36000	0.004059289	5730.428	0.0	-326.09375	1.3774952	2.0861626e-10	38.73530101776123
9	-178.22633	88.21174	-72.94665	-420.7909	88.86364	-28.493757	0.70448005	-16.23654	-29.947771	40000	0.0008276238	7018.8184	0.0	-440.09082	1.3776414	4.4703484e-11	42.75088715553284
