Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-202.40076	109.13519	-53.872936	-477.37424	87.577774	0.22930561	0.038957883	0.7297192	0.16167058	4000	3.4153462e-08	16704.227	-0.016886882	-2442.0068	1.3806751	0.012043073	0.10375	79.0	6.013131380081177
1	-152.97345	84.825584	24.383883	-386.36557	97.21951	-10.187036	2.5331545	-5.165127	-34.312252	8000	8.702278e-09	7721.417	-0.015964933	-5176.231	1.3797556	0.012323281	0.1535	79.0	12.037514686584473
2	-143.84282	71.55194	-45.92505	-324.0868	104.947365	-64.41185	11.377421	-28.950565	-140.39139	12000	2.4080277e-08	1890.5139	-0.015801778	-271.0011	1.3664458	0.011034739	0.08875	79.0	18.09639000892639
3	-131.71559	80.68024	-24.717518	-341.05096	103.89474	-75.45652	11.012443	-48.241425	-176.96115	16000	6.198883e-09	1990.082	-0.014203136	-185.18848	1.3467392	0.012328205	0.09175	79.0	24.19619107246399
4	-79.24249	35.09523	9.994258	-206.30467	123.53125	-68.337234	10.759131	-45.20962	-130.86917	20000	2.4139881e-08	1612.9934	-0.018129887	-900.95074	1.3292068	0.013087183	0.2025	79.0	30.25360941886902
5	-64.24621	70.639206	59.451965	-314.97708	127.548386	-39.122852	7.4876885	-25.69203	-101.62501	24000	-4.7683715e-09	2009.6345	-0.014109833	-205.97021	1.2684274	0.01044746	0.0685	79.0	36.53747773170471
6	-35.802063	29.673403	28.585016	-101.244225	131.83333	-33.4611	9.192398	-18.832848	-104.13839	28000	4.2915342e-09	732.79425	-0.007928894	-176.30804	1.2374148	0.015768599	0.334	11.0	42.265788316726685
7	-35.780754	43.604137	24.625303	-138.77039	265.86667	-31.735615	22.01852	-12.513529	-114.865456	32000	-1.66893e-08	1378.6775	-0.0069464347	-464.96686	1.2476363	0.0150765395	0.29475	11.0	52.97817134857178
8	-168.1319	113.45625	47.395256	-370.52078	265.66666	-15.078035	6.811429	-7.466787	-101.00706	36000	1.7523766e-08	4850.248	-0.018822003	-2446.7498	1.1173017	0.013359936	0.123	79.0	61.058363914489746
9	-59.217495	61.023354	7.980231	-204.0985	299.84616	-52.448616	16.121782	-23.851034	-153.25401	40000	-1.7642975e-08	1726.6238	-0.010032837	-1170.1167	1.127903	0.0167215	0.23825	8.0	68.74043464660645
