Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-164.66245	103.47195	33.061497	-487.62958	90.65909	-0.14698416	0.040322803	-0.03633973	-0.3274285	4000	-2.1636486e-08	10805.756	-0.0146756545	-2235.8643	1.3833814	0.011874094	0.117	79.0	6.168523073196411
1	-145.37296	73.29666	-8.178236	-408.7394	88.62222	-13.820209	1.7906897	-9.244326	-29.382074	8000	-5.1617622e-08	6055.6895	-0.015545777	-4451.345	1.379083	0.013187908	0.1345	79.0	12.131223440170288
2	-116.42346	48.51703	-48.22237	-345.2689	87.111115	-75.67239	8.426476	-46.473175	-126.1033	12000	-8.8214875e-09	853.2763	-0.01819388	-142.5863	1.36622	0.008084741	0.10775	79.0	17.807034969329834
3	-111.03436	64.22586	13.827813	-311.4991	88.51111	-67.87302	10.734692	-35.053623	-211.85597	16000	-3.5762787e-10	1811.7058	-0.012290509	-137.34937	1.3555692	0.01516839	0.109	35.0	23.136459589004517
4	-96.90151	39.830242	-31.472258	-219.8934	93.02381	-63.225246	9.42874	-32.0737	-165.272	20000	1.525879e-08	837.6921	-0.021160392	-131.04346	1.3540089	0.008082756	0.207	79.0	28.942012786865234
5	-90.67274	55.538567	32.200184	-299.0021	99.64103	-55.181004	10.905507	-33.387154	-170.86209	24000	-3.2782554e-09	1457.9315	-0.01096613	-164.73425	1.3261199	0.015445219	0.14325	28.0	34.37987780570984
6	-84.94246	60.621773	-4.005216	-286.68576	118.878784	-52.52201	14.664683	-29.220287	-218.02217	28000	1.9073486e-08	1327.1514	-0.01610845	-256.6848	1.308305	0.008069403	0.13125	79.0	40.625751972198486
7	-58.35226	44.527344	-1.9100707	-152.54993	118.969696	-45.438656	13.998023	-25.148594	-173.63731	32000	-2.2649765e-08	918.18304	-0.017914737	-258.60516	1.2655277	0.010222706	0.17575	79.0	47.06690216064453
8	-44.542484	44.39271	27.714108	-175.76587	140.17857	-34.829086	13.798535	-15.544324	-144.026	36000	-2.3961068e-08	1052.972	-0.012352885	-352.5874	1.2209442	0.015157227	0.20075	12.0	55.19044327735901
9	-49.184277	61.628574	45.935024	-233.43617	198.95	-26.576113	18.604376	-8.884973	-119.998955	40000	-2.3245812e-09	1552.117	-0.015961066	-254.11475	1.1985959	0.010592279	0.13475	79.0	62.96419048309326
