Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-1353.4641	288.98517	-867.7262	-1791.5812	-751.7687	277.11996	-410.7969	-1327.3875	200.0	200.0	3999	-36.365913	26.696712	4.033608	-111.013626	35.517883	12.479952	12.150592565536499
2	-1209.7533	272.36682	-855.9165	-1727.4686	-1608.7845	29.358126	-1570.1421	-1649.0636	200.0	200.0	7999	-96.35844	35.511646	4.5744987	-168.2985	93.57309	55.522373	28.29149293899536
3	-1222.5413	273.4431	-798.7592	-1651.8477	-699.95593	322.74332	-3.2043614	-955.65686	200.0	200.0	11999	-122.27038	41.40447	13.537952	-201.95691	119.28618	83.97352	44.367257595062256
4	-1030.8309	262.7703	-645.0496	-1542.2328	-537.71014	60.58368	-413.06702	-642.7716	200.0	200.0	15999	-141.68718	33.45018	-12.559052	-210.86525	139.40767	108.72639	60.82980394363403
5	-210.34985	163.31729	-0.23308124	-613.14276	-244.44681	154.92908	-0.3788785	-506.49338	200.0	200.0	19999	-171.06956	32.92009	-109.429756	-262.54333	169.60698	153.34312	77.28270030021667
6	-252.4093	114.91079	-128.55551	-499.90747	-176.58871	79.51322	-1.5359864	-259.2691	200.0	200.0	23999	-178.38487	44.345024	-108.630165	-273.7446	176.94151	178.59253	94.00270748138428
7	-190.82135	119.62686	-0.5089998	-375.97714	-191.82773	69.09819	-119.06848	-279.68634	200.0	200.0	27999	-178.24776	55.981293	-100.822556	-291.92484	177.04774	174.77972	110.27735424041748
8	-195.6456	112.5965	-0.63002443	-501.99957	-197.6556	120.82353	-0.63838744	-381.8877	200.0	200.0	31999	-171.69621	64.58748	-91.27801	-298.39536	170.4937	176.19797	126.6547794342041
9	-203.00479	127.36413	-1.4102795	-391.8606	-126.37588	133.49236	-0.21872965	-377.09088	200.0	200.0	35999	-161.40608	70.19728	-81.57254	-302.72595	160.2215	158.60469	143.13930130004883
10	-246.45493	119.13937	-117.850365	-515.02985	-150.21663	116.934975	-0.7271899	-350.74872	200.0	200.0	39999	-149.76764	73.94572	-70.06049	-304.24902	148.5822	137.55484	159.80615496635437
