Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	-353.5522	177.06339	17.932434	-663.23816	94.38095	0.17195477	0.2392558	0.58511317	-0.35244745	4000	8.881092e-08	44517.516	-0.013780451	-5410.328	0.008892958	0.0	5.525360584259033
1	-301.95767	134.97107	-66.96378	-617.4362	101.871796	-14.449395	0.76634663	-0.071649626	-15.429319	8000	2.6226044e-09	25325.96	-0.01555594	-1890.748	0.009386574	0.0	10.112369537353516
2	-221.73172	113.8334	22.359703	-406.27893	108.638885	-21.098406	0.67464995	-5.6097393	-21.456385	12000	-7.390976e-09	12170.067	-0.013737353	-777.83984	0.0068138926	0.0	14.767328023910522
3	-196.30682	91.000336	-50.132328	-377.9202	108.388885	-25.121588	2.7664986	23.242468	-25.59007	16000	-1.9669534e-08	8024.301	-0.015656041	-540.6831	0.0072087604	0.0	19.549640417099
4	-142.77438	75.12911	33.91987	-329.05914	111.828575	-28.915457	0.37340647	-16.09854	-29.102495	20000	5.796552e-08	3732.6265	-0.013589636	-236.1914	0.006407521	0.0	24.34250497817993
5	-126.4425	85.239044	-27.409874	-355.06143	111.42857	-31.205708	3.121069	22.755238	-31.632044	24000	-1.847744e-08	3537.5706	-0.01566781	-203.76099	0.0069413693	0.0	29.0406711101532
6	-102.329575	55.9522	-23.022348	-291.6761	119.78788	-33.53667	0.23098493	-19.880882	-33.61017	28000	6.437302e-09	1646.6465	-0.015059546	-55.685425	0.0064699994	0.0	33.829131841659546
7	-83.69343	44.53606	-3.5933986	-215.06927	127.41936	-34.887245	0.4098345	-21.694487	-34.975674	32000	7.2717667e-09	1135.3728	-0.015924288	-9.849243	0.0058916574	0.0	38.69354438781738
8	-67.70792	37.656883	21.478611	-144.8208	123.875	-35.47777	0.06949963	-34.94907	-35.545826	36000	7.390976e-09	811.6027	-0.013331694	-0.5949707	0.0055382936	0.0	43.552030086517334
9	-55.070084	40.918533	22.496185	-182.4788	124.78125	-35.55038	0.60093147	-27.925335	-35.669037	40000	3.5762786e-09	1047.2278	-0.01274349	-8.130615	0.006482098	0.0	48.85199236869812
