Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-189.29013	104.340195	20.227531	-482.2774	92.16279	0.1264394	0.0121035995	0.25629926	0.044204764	4000	0.00171101	13191.41	0.0	-1873.6592	1.3827097	7.748604e-10	5.068222522735596
1	-179.5753	107.82615	-4.968817	-469.70453	93.92857	-9.913558	2.0889115	-6.032671	-29.757303	8000	0.00045746373	10329.882	0.0	-7189.6963	1.3828728	4.4703483e-10	10.215530395507812
2	-197.86052	124.597824	-55.116013	-499.46793	94.14286	-74.33067	14.8603	-46.391705	-197.05266	12000	0.001108756	5485.6855	0.0	-1745.5891	1.383017	-1.6093255e-09	15.30231237411499
3	-169.28215	99.281685	-46.88785	-484.13144	91.51163	-106.86762	14.666734	-65.825836	-236.47237	16000	0.0026817445	2531.2927	0.0	-518.0493	1.3829194	-8.3446505e-10	21.225805521011353
4	-207.40889	102.59039	-53.678707	-416.02	92.558136	-94.95988	16.833881	-46.678112	-231.32568	20000	-0.00063175143	2783.1726	0.0	-572.8262	1.3830237	4.1723253e-10	27.016623735427856
5	-160.44643	100.70822	-13.82832	-494.737	90.15909	-103.59798	19.436987	-49.13342	-235.96007	24000	2.1719933e-07	3046.495	0.0	-459.8943	1.383133	5.9604643e-10	32.43917989730835
6	-188.6525	94.403656	-2.9907975	-437.87802	92.37209	-94.53086	21.948559	-44.168503	-310.29684	28000	-0.001540455	2068.9978	0.0	-114.08301	1.3830799	-8.3446505e-10	37.508949279785156
7	-164.7457	102.86432	15.308198	-436.06616	88.88636	-95.01598	24.608109	-40.88299	-277.6177	32000	1.6605616e-05	2466.605	0.0	-141.8789	1.3832917	-2.5331974e-09	42.54748487472534
8	-195.46832	112.98364	-31.015345	-442.97772	95.97561	-90.145	23.747974	-38.964855	-234.46371	36000	0.0010657773	2661.052	0.0	-322.55493	1.3832211	-6.2584876e-10	47.60562443733215
9	-191.02266	124.19437	-61.157425	-545.21686	90.09091	-105.4729	32.20466	-42.332256	-260.06885	40000	0.0022208027	2630.2214	0.0	-243.89673	1.3832068	-8.940697e-11	52.87324118614197
