Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-1360.5056	301.75385	-779.4155	-1814.46	-1449.018	82.39092	-1290.0377	-1541.8462	200.0	200.0	3999	-21.84975	16.26297	1.188426	-57.8417	-21.887825	16.249458	1.0692406	-57.92812	21.74828	15.690757	13.985735893249512
2	-1258.7068	328.35596	-824.428	-1755.2391	-1541.9404	39.273426	-1488.25	-1610.1	200.0	200.0	7999	-67.25236	28.68527	0.47955823	-119.93403	-67.25816	28.667965	0.392501	-119.587746	66.00268	43.963673	34.221107482910156
3	-1396.6039	279.04282	-860.11066	-1748.1738	-1622.7852	31.78089	-1567.9464	-1658.7404	200.0	200.0	11999	-97.04646	38.02165	7.471216	-159.72493	-97.04496	37.99437	8.167965	-159.65656	94.428	103.67522	54.57842183113098
4	-1594.2971	113.228516	-1141.6506	-1654.2585	-1603.0531	55.74562	-1475.2233	-1656.6359	200.0	200.0	15999	-115.90536	38.509674	-10.180748	-196.86446	-115.9024	38.498463	-10.854673	-197.02351	114.23488	139.0041	75.1026074886322
5	-1592.9014	42.199387	-1521.2124	-1653.2306	-1601.5051	30.813833	-1535.3442	-1645.0228	200.0	200.0	19999	-148.75928	30.374578	-71.2908	-228.80809	-148.75487	30.34276	-71.01316	-228.54755	147.6414	216.158	94.59192490577698
6	-1033.1431	272.83154	-751.2688	-1606.8047	-897.34326	45.03864	-855.4857	-984.03094	200.0	200.0	23999	-180.6281	28.995623	-111.56015	-258.84973	-180.6391	28.957096	-110.43446	-258.52597	179.23009	315.15494	115.01421046257019
7	-408.57996	224.27287	-118.20881	-860.845	-159.22208	106.044	-2.2224324	-353.12863	200.0	200.0	27999	-199.47084	31.295902	-137.51143	-282.76297	-199.48865	31.265179	-137.36055	-282.301	197.4842	366.04938	136.15008997917175
8	-151.81573	75.125885	-3.6391096	-318.74625	-198.10503	112.162025	-126.3134	-474.787	200.0	200.0	31999	-205.8953	38.426426	-141.88452	-301.2058	-205.88196	38.39182	-141.04173	-301.21313	203.73602	406.48276	160.16561818122864
9	-208.86052	95.16991	-125.69024	-458.1154	-195.56271	121.01971	-0.68330437	-350.72678	200.0	200.0	35999	-204.80496	47.145668	-133.93196	-315.08868	-204.80013	47.162567	-133.1278	-314.792	202.69075	393.3779	187.27558064460754
10	-176.84692	113.294334	-4.0537724	-481.81754	-172.71762	84.28519	-0.50146794	-292.69977	200.0	200.0	39999	-199.78262	55.880383	-121.23665	-326.41702	-199.78761	55.860832	-120.98633	-326.0791	197.93715	387.947	209.68483018875122
