Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-199.02557	126.469986	4.8357253	-508.5992	92.093025	0.04284982	0.06559176	0.3085764	-0.11116524	4000	1.3828277e-08	15915.686	-0.009802558	-256.3711	1.3752661	0.008495261	0.05725	79.0	4.5317542552948
1	-170.1911	112.6921	-18.897121	-669.2146	89.931816	-1.1272867	0.2055167	-0.7071563	-3.454039	8000	-1.2469292e-07	12243.463	-0.01000294	-459.20312	1.3824564	0.011678201	0.06775	79.0	9.058616161346436
2	-154.18268	101.82549	15.096778	-398.85364	101.89744	-3.426605	0.63108665	-1.1338865	-9.873807	12000	-7.355213e-08	8722.782	-0.01107773	-592.90186	1.3782581	0.008242142	0.073	79.0	13.952925443649292
3	-163.83447	103.51909	-15.141247	-462.08362	98.775	-7.5103908	0.90992105	-2.0708542	-19.663912	16000	-8.3446505e-10	9901.711	-0.010571363	-1170.166	1.3709191	0.015074168	0.077	60.0	19.082972288131714
4	-160.4293	110.87062	38.437252	-426.71988	110.02778	-13.521639	1.8865452	-3.5571826	-22.413443	20000	9.536744e-10	7257.383	-0.009645952	-1082.8433	1.3421196	0.005651601	0.1025	79.0	24.090659618377686
5	-137.82253	90.85402	24.01253	-362.6978	144.66667	-20.09288	5.012119	-6.067544	-32.150585	24000	7.1525574e-10	3312.591	-0.009866925	-438.35132	1.3420719	0.0052664555	0.0285	79.0	30.918043613433838
6	-160.05966	84.78313	-30.700487	-341.615	117.35294	-28.846613	3.7802556	-14.91542	-48.506718	28000	-7.2956084e-08	4540.91	-0.0116724055	-1197.8281	1.3206587	0.015059588	0.1425	43.0	35.65003323554993
7	-121.588165	90.90842	-11.115513	-450.49847	137.55173	-41.396694	6.231691	-10.63753	-72.07051	32000	-9.775162e-09	2148.1292	-0.010991923	-146.62622	1.2722882	0.0048166146	0.05725	79.0	41.02135992050171
8	-111.16999	66.667206	13.863933	-245.92632	140.07143	-42.430927	7.873844	-17.334743	-66.65768	36000	7.629395e-09	1440.0468	-0.008998651	-98.99719	1.2488203	0.008765194	0.06025	79.0	46.07495474815369
9	-160.29727	76.17864	-60.713696	-323.33905	166.34782	-41.965332	6.276022	-18.877518	-70.359695	40000	9.536743e-09	2098.5964	-0.010879462	-245.38513	1.2239555	0.011518295	0.1165	79.0	51.47643041610718
