Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-1166.0347	300.75342	-763.11005	-1756.608	-626.6699	301.80814	-393.776	-1494.7269	200.0	200.0	3999	-36.131104	27.944992	2.621206	-106.104706	35.140114	7.5503945	17.25590991973877
2	-1251.1095	303.66467	-762.7489	-1870.0085	-337.598	349.85117	-117.51345	-1032.2732	200.0	200.0	7999	-85.53307	41.792824	25.112547	-180.57312	82.282486	43.894154	39.66292357444763
3	-736.6116	604.4861	-2.5422182	-1679.2101	-317.6461	455.83542	-1.0775083	-1639.969	200.0	200.0	11999	-87.99531	67.36521	50.764294	-222.63536	82.957596	59.341274	62.500333070755005
4	-194.86662	190.89487	-2.8548446	-956.36554	-179.8706	76.2417	-114.69324	-348.9132	200.0	200.0	15999	-53.913116	79.16087	59.85522	-228.75258	49.931923	43.323025	86.40778827667236
5	-157.5628	105.16698	-1.7986096	-355.40518	-160.02829	76.08979	-4.090636	-245.28317	200.0	200.0	19999	-34.6447	71.84302	59.26833	-225.86823	31.466711	28.994759	110.02845907211304
6	-154.35806	99.39322	-1.4541036	-343.7843	-156.13	53.038445	-116.08678	-243.55884	200.0	200.0	23999	-22.431715	67.26744	53.552467	-209.5133	19.69348	22.016382	133.8249113559723
7	-182.52634	70.923355	-116.29982	-342.41687	-168.0781	94.173256	-3.6520972	-356.20193	200.0	200.0	27999	-16.130217	65.88892	48.59044	-203.11427	13.934381	20.976622	158.23247528076172
8	-159.93869	79.41151	-3.116941	-282.71182	-120.43846	104.27574	-3.7072208	-350.67645	200.0	200.0	31999	-15.1986265	63.2425	40.462845	-205.10376	13.427988	17.982975	182.60471200942993
9	-119.23958	110.23105	-3.1096003	-368.51285	-179.37518	90.46815	-3.9790223	-344.8204	200.0	200.0	35999	-15.387153	61.124203	33.725742	-205.09802	13.74726	18.200571	208.62610626220703
10	-147.90112	88.45117	-3.6598845	-349.2015	-115.8006	66.36768	-5.421144	-254.45895	200.0	200.0	39999	-15.305371	60.406166	30.654707	-215.21005	13.855981	15.042853	232.54854559898376
