Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-1288.74	293.5277	-750.0207	-1774.1322	-1305.5608	93.340355	-1115.781	-1427.9381	200.0	200.0	3999	-22.531643	16.263111	2.3164246	-80.29382	-22.801596	15.9877405	1.1878493	-81.33167	21.902292	13.070234	14.72108244895935
2	-1281.4761	330.76178	-793.75	-1788.0079	-1287.9183	318.52197	-947.8553	-1625.0925	200.0	200.0	7999	-66.28677	28.125639	8.743386	-120.14202	-66.26643	28.099306	9.96546	-119.76575	64.8876	47.87003	35.01792883872986
3	-1380.0238	267.54355	-764.55896	-1772.8495	-1246.7078	620.27814	-11.694657	-1642.5851	200.0	200.0	11999	-95.62265	33.340942	10.078632	-153.95082	-95.64142	33.241623	10.019541	-154.23866	92.8487	108.381935	54.778186082839966
4	-720.8423	625.2724	-0.5391574	-1561.6953	-671.6709	600.21	-0.18151397	-1337.4811	200.0	200.0	15999	-115.49468	32.941452	-11.887989	-181.27832	-115.54618	32.79638	-11.003142	-182.82195	113.5526	144.56903	76.8146162033081
5	-566.681	507.2237	-1.3441178	-1325.8903	-284.20108	275.6481	-4.514669	-804.24506	200.0	200.0	19999	-138.02899	36.505283	-75.674515	-211.00699	-138.07758	36.30511	-76.303314	-210.7044	136.6077	200.5074	96.03620409965515
6	-134.86702	83.474075	-0.73719364	-245.36444	-137.08173	86.03108	-0.8021901	-261.37698	200.0	200.0	23999	-154.10194	49.695454	-79.54809	-256.0675	-154.14299	49.462822	-81.33786	-257.68704	152.76451	251.7392	115.9849910736084
7	-137.31575	93.79377	-0.11503081	-275.84543	-137.35222	63.632324	-0.638131	-242.25865	200.0	200.0	27999	-161.81403	62.249775	-84.01382	-306.3634	-161.87463	61.954895	-84.41055	-308.10248	160.37666	321.15427	137.03947806358337
8	-147.52277	118.53071	-0.116342105	-378.07986	-173.13734	110.85393	-0.28038797	-356.8331	200.0	200.0	31999	-167.0651	72.28927	-87.552246	-349.725	-167.1526	71.88504	-87.60166	-352.33487	165.85556	357.56824	157.3534233570099
9	-208.65083	100.52405	-0.7281931	-369.55957	-206.4605	91.62513	-0.3114706	-351.4391	200.0	200.0	35999	-174.00348	82.013725	-91.1185	-384.21753	-174.08553	81.61883	-91.09779	-387.20026	172.88162	378.13235	177.66916370391846
10	-175.42545	151.3729	-0.12934248	-596.48016	-126.48961	97.31035	-0.6243016	-289.25183	200.0	200.0	39999	-180.40952	91.228806	-93.96368	-397.6044	-180.48734	90.84858	-93.84201	-402.38843	179.41187	430.30905	196.9302797317505
