Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-1261.2021	216.9547	-874.66174	-1705.7739	-630.74207	644.5531	-0.7298691	-1489.8099	200.0	200.0	3999	-43.991776	28.39695	4.5363216	-103.39072	-43.980568	28.381903	4.165316	-103.31208	0.24512164	1.2625376	4.989085	-8.60089	43.41569	22.521807	43.715171575546265
2	-1246.6313	235.50429	-876.00464	-1597.5913	-121.39787	2.3568466	-118.57241	-126.72866	200.0	200.0	7999	-103.54256	38.455357	11.9314165	-185.71216	-103.53771	38.46781	11.784052	-185.85518	1.2260275	1.5789369	6.3107953	-9.376017	101.299416	104.06286	101.46259307861328
3	-712.3744	569.6349	-1.1712527	-1678.0574	-179.91159	110.32334	-0.053794242	-355.84436	200.0	200.0	11999	-120.97525	64.49434	46.3663	-233.92862	-120.97034	64.50902	46.06819	-234.58952	1.6573805	1.699404	6.4971886	-9.708487	117.05458	175.2487	155.0074326992035
4	-133.72263	98.96782	-0.5425059	-323.13724	-163.7574	91.28342	-1.0519216	-333.7594	200.0	200.0	15999	-81.57133	87.15918	48.24725	-248.15923	-81.56979	87.17391	51.058533	-248.19704	1.3887196	1.7705684	6.9353175	-9.310948	77.844284	132.25447	210.88140630722046
5	-162.33273	92.06234	-3.2524083	-348.58932	-163.66826	95.446724	-4.8263516	-347.23874	200.0	200.0	19999	-56.002354	79.95467	37.28511	-248.38872	-55.99725	79.95082	37.34095	-248.57436	0.9548111	1.7592592	7.6452856	-10.6170635	53.270622	80.23639	270.18292760849
6	-146.80122	93.96493	-2.9478803	-373.31012	-163.69006	87.610695	-1.0343968	-320.67834	200.0	200.0	23999	-47.814686	74.936035	20.682957	-244.60007	-47.80934	74.93244	21.373278	-245.39651	0.82221985	1.6336445	7.3882976	-9.508172	45.89058	68.37586	326.43626046180725
7	-163.59073	88.20002	-2.96595	-371.81732	-131.99478	84.14456	-0.62892216	-247.9964	200.0	200.0	27999	-44.15376	73.80394	17.605543	-252.80222	-44.15022	73.80902	16.817823	-250.86398	0.6273749	1.5751374	7.1704865	-10.2652	42.555782	55.1388	383.44509267807007
8	-136.66312	100.74837	-0.9429608	-340.1001	-150.95567	65.742485	-115.33683	-314.66238	200.0	200.0	31999	-41.36071	72.51617	15.484104	-255.53748	-41.35709	72.51525	14.697614	-256.23627	0.48951775	1.5396413	7.0974746	-8.60335	39.93489	50.83262	439.7111248970032
9	-167.30746	64.31035	-117.489716	-321.3472	-167.91376	53.156643	-119.07556	-248.39323	200.0	200.0	35999	-38.292316	69.81024	13.391425	-257.91602	-38.288506	69.808136	12.692314	-258.7858	0.4078334	1.494022	7.381593	-8.812048	37.044807	48.73612	497.2687842845917
10	-158.49973	67.28701	-3.6645083	-258.37692	-156.14352	75.49014	-0.14887941	-250.27347	200.0	200.0	39999	-36.49769	67.837326	10.755461	-260.49854	-36.496334	67.83519	10.718925	-260.16452	0.34883207	1.4642506	7.4909296	-8.377969	35.381878	41.662506	552.1013481616974
