Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-1275.1442	262.40433	-751.96515	-1717.4133	-847.3428	145.15631	-654.31995	-1087.3601	200.0	200.0	3999	-38.415318	26.902811	0.4947201	-119.3175	-38.52421	26.7733	0.2516521	-119.693695	0.2296301	0.9807235	5.6848893	-11.822601	38.123077	25.444479	26.9699923992157
2	-1170.2681	297.73953	-792.3386	-1783.428	-1561.9612	47.4733	-1492.7611	-1634.961	200.0	200.0	7999	-109.50106	33.786346	-6.306047	-189.54597	-109.50731	33.71095	-3.5688498	-190.99297	0.9235822	1.3109615	4.6535425	-10.020716	108.22824	126.391884	65.07144260406494
3	-1352.783	244.74162	-819.1629	-1716.0144	-1234.9971	186.38274	-957.261	-1476.9916	200.0	200.0	11999	-151.52534	42.513012	-5.9951787	-237.7224	-151.54565	42.40057	-9.786455	-237.49197	1.264783	1.4117215	5.460195	-9.565424	149.75394	259.21387	105.29762768745422
4	-1160.8811	129.30803	-932.2353	-1514.624	-1075.013	120.82438	-818.40515	-1243.573	200.0	200.0	15999	-182.29178	37.672016	-42.097694	-264.66226	-182.33612	37.585194	-41.093647	-263.9824	1.0649556	1.4378493	7.2046156	-9.636988	181.35498	360.12842	146.3855721950531
5	-741.9857	321.9779	-240.49525	-1248.2335	-428.71558	299.15118	-5.9864492	-780.8609	200.0	200.0	19999	-227.2236	30.025187	-156.81487	-303.52588	-227.24182	29.919024	-154.8386	-304.73953	0.77559143	1.3245265	4.9931517	-12.944374	227.05878	520.6878	187.83147549629211
6	-322.27686	232.69984	-1.5143508	-740.95844	-246.10501	92.160416	-122.493225	-367.45755	200.0	200.0	23999	-254.94014	32.617348	-192.52953	-331.49	-254.97044	32.44351	-190.60124	-332.85855	0.9264755	1.306759	5.5228343	-10.033239	254.56631	678.9906	229.7905285358429
7	-268.65787	137.62361	-1.3412739	-509.74503	-227.28467	175.37213	-1.3872089	-502.0664	200.0	200.0	27999	-262.37125	43.5417	-191.1601	-354.22293	-262.41135	43.147457	-192.23006	-356.51083	1.0420359	1.3254436	8.465065	-9.96283	262.05942	716.4592	271.2615201473236
8	-280.1414	266.0341	-1.1302348	-763.16235	-603.8579	241.59883	-133.17583	-805.60187	200.0	200.0	31999	-261.7761	52.990757	-181.36763	-372.85397	-261.8001	52.62282	-181.39728	-374.59592	1.0571738	1.3553135	8.061342	-11.769946	261.53476	723.91516	313.86738181114197
9	-646.84064	290.3883	-0.88300604	-974.45337	-765.235	259.6642	-0.7551284	-949.5456	200.0	200.0	35999	-259.53305	61.57722	-170.93143	-385.55032	-259.56403	61.18417	-171.2889	-385.79694	0.9580946	1.3352876	7.2260833	-8.455023	259.4457	710.6824	354.63722348213196
10	-522.1688	323.08292	-0.7144622	-893.6857	-638.6549	365.2025	-1.0436944	-966.1272	200.0	200.0	39999	-260.30615	68.61496	-162.72864	-400.77847	-260.3339	68.216805	-163.26137	-398.60526	0.84747946	1.2836993	6.2560463	-9.801546	260.3733	696.74316	393.85625982284546
