Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	-231.846	152.6894	38.75733	-612.63	91.83721	-0.027646476	0.1825325	0.78043544	-0.61966604	4000	3.1650067e-08	22338.346	-0.01232284	-450.0703	0.005722515	0.0	4.603822708129883
1	-214.04192	146.622	-10.14179	-515.08234	82.895836	-1.7457526	0.8776866	-0.40758926	-6.2339683	8000	-3.8266183e-08	21120.725	-0.008832051	-822.6387	0.0032898183	0.0	8.474123001098633
2	-191.9492	138.88326	78.299995	-562.0916	116.088234	-4.3144417	1.9032785	-1.050966	-14.844059	12000	-4.518032e-08	12696.968	-0.01147425	-670.2871	0.005908982	0.0	14.258979797363281
3	-145.2923	73.10327	-45.492054	-353.21985	90.40909	-7.642638	2.275099	-1.7327045	-23.508469	16000	3.194809e-08	6895.7837	-0.008409118	-731.0137	0.0033221045	0.0	18.24392008781433
4	-132.04959	56.53536	-41.585392	-272.8318	87.71111	-12.87927	2.3844123	-7.2496777	-28.164225	20000	-2.7656554e-08	4741.432	-0.010377273	-730.6277	0.005171652	0.0	22.169907569885254
5	-121.571846	71.09229	15.826242	-321.68582	93.11905	-18.346992	2.949792	-4.275717	-38.882793	24000	-4.1127204e-09	4431.7515	-0.013598648	-597.04297	0.0040506544	0.0	26.203795909881592
6	-107.55852	72.641045	37.058292	-349.25015	91.976746	-24.925283	3.6402574	-4.241289	-46.006107	28000	1.618266e-08	3653.5674	-0.011678569	-418.2085	0.003635909	0.0	30.250061511993408
7	-112.97328	63.075813	24.157148	-277.55923	100.97436	-29.222368	3.9790971	-6.8732276	-57.01239	32000	2.4557114e-08	2726.4868	-0.019050648	-412.67432	0.0060029826	0.0	34.37816905975342
8	-94.327484	52.44534	36.399357	-286.4203	100.79487	-35.781525	4.070404	-13.781856	-65.820465	36000	-4.768372e-10	1487.86	-0.0137637835	-136.16797	0.006438636	0.0	38.453611850738525
9	-105.55418	78.23075	54.54017	-322.64258	110.0	-38.850765	4.6846566	-15.581343	-74.15771	40000	-3.004074e-08	2690.12	-0.01152418	-202.92554	0.0044280523	0.0	42.99459886550903
