Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-1140.3147	268.4211	-766.9072	-1749.0697	-1529.3638	67.364685	-1415.0411	-1637.1484	200.0	200.0	3999	-30.635517	24.351925	4.890057	-85.49369	30.27187	12.738463	12.044598817825317
2	-1231.4683	278.35284	-861.4772	-1766.8815	-1626.8191	26.11611	-1580.5436	-1654.699	200.0	200.0	7999	-82.03448	36.086704	2.8886037	-151.54945	79.39029	39.735813	28.57716393470764
3	-1401.6401	293.22754	-859.2069	-1642.7524	-1628.1621	25.793343	-1570.2147	-1655.8552	200.0	200.0	11999	-102.29688	46.521748	6.5118914	-195.09134	98.82338	63.21832	45.005131244659424
4	-1617.9014	32.731453	-1526.9474	-1652.1125	-1601.9534	50.49393	-1492.1255	-1653.1547	200.0	200.0	15999	-122.58637	43.542175	-17.360838	-238.7627	120.90714	82.95641	61.549232006073
5	-1371.6323	487.32718	-5.67123	-1644.5198	-294.94876	163.27248	-122.724945	-601.6462	200.0	200.0	19999	-174.62086	35.97908	-75.90001	-272.87833	173.77574	153.61734	78.34092140197754
6	-536.7119	359.55112	-2.0482714	-1146.0856	-148.5005	107.27775	-0.34808895	-256.5843	200.0	200.0	23999	-208.48006	30.919062	-141.90555	-292.1192	206.53757	204.92259	95.50392365455627
7	-222.48653	129.04935	-2.1149008	-483.13248	-174.61319	79.05994	-8.297154	-253.5188	200.0	200.0	27999	-216.24432	39.716595	-142.94415	-314.85678	214.4186	219.82973	112.35254716873169
8	-175.79929	91.00319	-8.387954	-398.19168	-115.05833	65.401985	-7.426089	-253.08891	200.0	200.0	31999	-205.5735	55.806442	-109.1896	-327.71866	203.07878	193.16867	128.8346288204193
9	-150.55896	88.16302	-7.428886	-323.0152	-155.60696	74.93635	-1.3434882	-243.14902	200.0	200.0	35999	-182.37654	68.304214	-81.842636	-333.68076	179.76051	160.96071	145.49407172203064
10	-136.28477	82.09629	-0.40291786	-323.18262	-155.36523	54.012527	-115.06486	-244.21838	200.0	200.0	39999	-157.12993	76.46754	-59.348114	-331.23022	154.64175	134.72266	162.3421151638031
