Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	-231.6047	112.07002	-19.706007	-465.63962	107.80556	0.55262166	0.11794104	0.85543436	-0.27462825	4000	2.9683113e-08	16764.342	-0.0125906095	-3084.6143	0.0074094217	0.0	5.560385704040527
1	-164.38644	100.54007	-42.10815	-450.9872	102.333336	-13.542631	1.8203591	8.723208	-14.687378	8000	-1.6212464e-08	7988.83	-0.011018075	-987.7832	0.0040043453	0.0	10.101984977722168
2	-172.26904	100.59234	-20.059408	-425.32663	101.20513	-20.473171	0.9257452	-5.800827	-20.840212	12000	-8.3446505e-10	8488.221	-0.012805609	-760.90625	0.006892668	0.0	14.464657068252563
3	-137.42096	90.49427	10.137161	-347.81802	104.57895	-26.086967	0.389701	-17.840591	-26.240461	16000	-1.168251e-08	4950.711	-0.01507903	-384.229	0.006373086	0.0	18.935832023620605
4	-142.02892	73.56635	-8.953983	-303.40643	116.588234	-30.105349	0.7976081	-18.625393	-30.293468	20000	-5.2928925e-08	3706.0327	-0.012905898	-315.03833	0.004961443	0.0	24.99801731109619
5	-127.96529	67.74435	32.56703	-277.90094	120.27273	-33.90504	0.34967378	-24.948036	-33.98113	24000	-3.4570693e-08	2141.33	-0.014475263	-160.07788	0.0069480403	0.0	31.925801753997803
6	-112.95398	58.34325	-38.032	-311.9201	107.5	-36.739124	0.2320661	-32.395172	-36.807053	28000	2.6881695e-08	1921.338	-0.014578197	-121.49219	0.006693181	0.0	36.973246335983276
7	-107.23925	78.54148	-32.76627	-403.21808	131.06667	-39.247467	0.0781041	-38.07923	-39.29937	32000	-1.6570091e-08	2229.3765	-0.012846779	-41.895508	0.0046495553	0.0	42.05504035949707
8	-95.90236	71.48031	-16.98021	-368.98697	125.96774	-40.8184	0.2509558	-35.995968	-40.885624	36000	-8.523465e-09	1985.9885	-0.017605253	-23.0083	0.0052581294	0.0	46.9142324924469
9	-84.767685	49.12775	-23.477991	-221.46147	120.030304	-42.02282	0.14467467	-39.419857	-42.070778	40000	1.1324882e-08	1206.6151	-0.012882696	-0.97314453	0.0058786734	0.0	52.15062475204468
