Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-1235.4492	234.20955	-868.583	-1564.5214	-1571.7385	46.827442	-1496.1478	-1640.6095	200.0	200.0	3999	-41.035667	27.747417	4.432855	-99.96626	40.070824	9.755075	17.865668773651123
2	-1440.8599	263.2751	-879.43475	-1793.1702	-354.29492	500.73795	-1.2318856	-1492.6703	200.0	200.0	7999	-96.15651	35.387726	16.354755	-166.21547	93.056946	46.46165	41.20571565628052
3	-688.0024	596.38824	-1.9456528	-1819.6079	-189.99464	77.96558	-114.928375	-354.8087	200.0	200.0	11999	-112.52257	58.908962	44.297707	-205.46896	108.00717	71.63293	65.48657703399658
4	-157.16426	95.51349	-1.3672153	-346.27173	-128.89209	91.79284	-1.2718246	-328.35037	200.0	200.0	15999	-73.50098	83.309296	49.35868	-214.5036	69.31625	55.419285	89.86544418334961
5	-126.24469	46.72631	-2.3422067	-260.98752	-131.81	83.8122	-1.3260624	-254.3177	200.0	200.0	19999	-46.937946	79.151085	50.249855	-214.50905	43.574986	35.592625	113.90883207321167
6	-183.32523	98.62241	-0.6907197	-348.05862	-175.8848	71.56382	-117.06342	-322.56393	200.0	200.0	23999	-32.78049	74.76894	40.15577	-209.85544	30.113512	28.50251	137.78393721580505
7	-147.36711	73.03038	-2.6856308	-263.38882	-110.79897	93.524994	-4.3754687	-339.1674	200.0	200.0	27999	-26.031265	73.3744	35.3412	-211.90584	23.907335	25.963356	162.3054060935974
8	-169.00397	84.48748	-5.427327	-341.64618	-134.19446	83.158905	-3.0749006	-253.30852	200.0	200.0	31999	-23.557455	71.731125	34.60592	-217.17311	21.713089	24.03793	186.28254795074463
9	-114.98964	97.65732	-2.94042	-323.7678	-187.35025	99.77413	-5.0029054	-363.6211	200.0	200.0	35999	-21.261145	69.70653	30.955276	-222.35803	19.588781	21.485542	211.35395646095276
10	-128.70503	102.302536	-2.7645507	-341.69318	-157.37837	93.875854	-1.7543424	-328.25766	200.0	200.0	39999	-19.59518	66.57634	28.783287	-225.05746	18.138514	19.411917	236.34510707855225
