Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-181.19595	129.17125	15.872803	-560.8491	92.81396	-0.23016293	0.06911449	-0.027394712	-0.66653204	4000	-8.6605546e-08	14358.854	-0.009693488	-243.18555	1.3721223	0.007830252	0.04375	79.0	12.049905776977539
1	-185.86401	107.871155	16.327417	-423.08804	98.425	-1.3483288	0.17302363	-0.73198974	-4.464131	8000	6.687641e-08	12375.118	-0.007374749	-454.27148	1.3760492	0.006892211	0.03225	79.0	21.88878607749939
2	-171.5209	89.645645	-9.313176	-355.67212	103.97369	-3.7367926	0.4404679	-2.3246858	-10.091459	12000	-8.630752e-08	9764.219	-0.009565145	-777.1387	1.3693777	0.009108943	0.159	79.0	34.039634466171265
3	-169.46962	100.46877	-33.08804	-488.02878	102.63158	-7.7257366	1.3114111	-3.282175	-17.776407	16000	-1.5854836e-08	9827.176	-0.009372379	-1007.40625	1.3635294	0.009535042	0.05875	79.0	42.68698191642761
4	-180.06725	124.99472	-45.706635	-534.8303	102.28205	-13.867834	1.3971899	-8.410363	-23.375296	20000	-1.2004375e-07	11512.1	-0.010130078	-1478.1777	1.3340646	0.005925755	0.042	79.0	55.45456838607788
5	-184.9448	99.44008	-53.62603	-432.54236	104.945946	-22.478483	1.9089841	-16.530487	-37.624527	24000	-2.3007393e-08	7734.0547	-0.009626356	-1409.7485	1.3350172	0.015050705	0.074	71.0	66.62173509597778
6	-145.86401	89.53016	-8.339023	-341.9221	106.432434	-32.815945	3.2699351	-12.320873	-56.247444	28000	3.823638e-08	4082.1067	-0.01165269	-684.63574	1.3269519	0.009437017	0.056	79.0	72.24160718917847
7	-146.28601	101.96778	18.777237	-490.9282	116.67647	-40.3923	4.379627	-14.348268	-72.33741	32000	4.8279762e-09	4292.7495	-0.01069006	-588.7617	1.3154215	0.00999322	0.05825	79.0	77.02944111824036
8	-173.65056	103.502495	-26.209112	-411.5666	128.64516	-48.349445	4.614893	-21.926746	-81.53719	36000	3.1113625e-08	3482.4805	-0.0059459214	-653.5891	1.2731873	0.00848011	0.0285	79.0	81.8431499004364
9	-120.80444	62.244865	68.92981	-197.8559	155.08	-58.4247	10.048861	-24.348745	-95.386345	40000	3.4570693e-09	1639.6221	-0.01210327	-239.85938	1.315783	0.00989183	0.1265	79.0	88.29932045936584
