Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-1298.3472	295.79996	-860.4636	-1816.5338	-1200.7454	74.82076	-1080.3091	-1355.9854	200.0	200.0	3999	-24.703756	16.977062	0.9168749	-81.14838	-24.701202	16.984156	0.24300018	-81.29183	24.183146	6.1535716	22.3164963722229
2	-1151.8899	285.4345	-727.96356	-1662.8694	-526.2425	617.5734	-0.54690766	-1480.7289	200.0	200.0	7999	-65.126495	28.566854	-1.4595877	-124.453735	-65.1168	28.596718	-1.3952992	-125.7109	63.375275	39.413837	49.28856110572815
3	-710.74927	616.0592	-2.4378133	-1765.2504	-158.70709	55.461353	-114.862335	-246.11781	200.0	200.0	11999	-92.64071	38.665215	-1.4234139	-167.00171	-92.63564	38.707504	1.0395572	-167.5639	89.84947	85.39911	79.9504783153534
4	-169.10564	88.30141	-2.9423974	-377.89215	-135.11966	35.627857	-118.110634	-241.74944	200.0	200.0	15999	-89.19156	60.93262	1.0301499	-212.22247	-89.18696	60.959114	1.5920069	-212.0001	85.988945	103.39513	109.05668020248413
5	-149.24435	96.7357	-2.37778	-346.1087	-142.67715	89.036674	-2.6650672	-355.98462	200.0	200.0	19999	-80.95937	74.1169	5.1487265	-247.03618	-80.95406	74.145065	5.1455045	-247.10306	78.523	113.23964	138.6896994113922
6	-147.60442	69.31462	-0.7013811	-326.55524	-184.84659	82.27309	-114.42384	-343.3483	200.0	200.0	23999	-71.3506	79.50801	9.321432	-266.70505	-71.3467	79.5311	8.492655	-265.99002	68.98458	101.249596	168.05428981781006
7	-168.38254	84.7223	-1.4230345	-331.02795	-150.5094	111.22617	-0.4472272	-303.11288	200.0	200.0	27999	-63.418686	80.29833	11.073896	-278.80234	-63.416843	80.312004	9.664558	-277.83057	61.353374	86.487686	196.9162290096283
8	-169.54446	90.867134	-0.54203343	-350.9769	-133.21799	64.36305	-1.4624923	-241.09921	200.0	200.0	31999	-57.94552	79.32514	9.848704	-284.4829	-57.94379	79.338486	10.20198	-283.63376	55.934406	81.22764	227.02602434158325
9	-148.61719	85.64006	-1.1443256	-357.67923	-100.632965	47.20956	-5.446596	-127.155365	200.0	200.0	35999	-52.77135	77.10413	6.394133	-284.91306	-52.77031	77.11546	7.910618	-284.69907	50.95349	71.06564	255.82637000083923
10	-128.53082	76.43438	-2.2856262	-353.4709	-182.36884	97.21035	-1.288613	-339.30447	200.0	200.0	39999	-48.500565	74.37299	5.700791	-283.6149	-48.499084	74.38669	6.417239	-283.36462	47.176563	62.55492	285.8733286857605
