Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-138.88759	85.00937	37.713802	-369.56888	86.58696	-0.32635233	0.07164777	0.09968896	-0.631252	4000	-2.1457671e-09	9089.569	-0.0127017945	-233.26953	1.3770962	0.011405583	0.07875	79.0	4.414710760116577
1	-212.47592	116.973976	-65.4584	-454.2799	94.92683	-1.92645	0.31146628	-0.6911309	-2.6924405	8000	6.097555e-08	16213.952	-0.0114056375	-705.17773	1.3673717	0.012354199	0.10025	79.0	8.85983681678772
2	-159.46953	93.147835	-56.47568	-401.41214	96.87805	-4.630738	1.0916955	4.201887	-7.447626	12000	2.169609e-08	9518.604	-0.009177395	-533.9746	1.3762535	0.012794146	0.09	79.0	13.364050149917603
3	-168.69614	110.82526	3.5704095	-483.3247	95.82927	-7.536548	1.5345262	4.4634805	-10.5422735	16000	-8.058548e-08	11011.588	-0.008905453	-753.7988	1.3674536	0.007763093	0.0685	79.0	17.85759425163269
4	-150.09311	87.01598	-25.203152	-398.06186	91.790695	-11.690449	0.96762735	-5.120012	-13.566298	20000	7.987023e-09	7583.8667	-0.0064549064	-487.0669	1.3668	0.0065846774	0.11375	79.0	22.36735963821411
5	-155.572	64.89693	-48.800407	-280.80795	100.10256	-15.229072	0.68537897	-7.3176513	-17.105568	24000	7.104874e-08	6088.032	-0.008123429	-459.26758	1.3550265	0.00750382	0.01975	79.0	27.007554531097412
6	-127.59019	81.08418	-24.194704	-358.65918	98.7	-18.399612	1.2424834	-3.5002503	-20.426281	28000	-1.0490417e-08	4839.7407	-0.011671943	-299.8296	1.3457936	0.010558278	0.12275	79.0	31.556224584579468
7	-134.95053	99.76228	-27.911926	-378.8653	103.3421	-21.19342	0.96310145	-12.1000595	-23.129707	32000	-3.1590461e-09	6138.2886	-0.010946447	-312.23438	1.3285718	0.009922759	0.139	79.0	36.199217557907104
8	-172.23782	98.35774	-13.956271	-365.67688	107.86487	-23.738405	1.8929853	-6.2824802	-25.843328	36000	3.218651e-08	7578.315	-0.009385472	-468.62305	1.3354999	0.015062658	0.10375	72.0	40.907543420791626
9	-155.07004	106.835495	7.7902794	-471.18515	111.97143	-26.961178	1.1764946	-15.956614	-28.915535	40000	4.118681e-08	6268.7114	-0.010443641	-300.771	1.3036933	0.012749588	0.09525	79.0	45.63449192047119
