Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-1239.8431	305.49686	-831.85834	-1827.121	-1478.874	91.62036	-1320.7499	-1607.0184	200.0	200.0	3999	-33.808605	25.23731	3.3634768	-87.04479	-33.875366	25.261461	3.4456944	-87.11996	-0.39112595	0.7762861	3.478341	-8.374517	33.727253	30.817083	26.909775972366333
2	-1102.182	241.99496	-631.6304	-1586.1566	-1616.1077	28.44969	-1539.5908	-1646.5509	200.0	200.0	7999	-91.45336	37.6711	9.658784	-159.06418	-91.46422	37.68897	8.31871	-159.14319	1.1042267	1.561578	4.9982095	-11.177563	89.65495	98.56411	62.461453676223755
3	-1354.1998	271.47354	-753.73627	-1721.0155	-1269.0598	41.1222	-1198.1855	-1334.0043	200.0	200.0	11999	-124.37125	47.412766	33.56843	-206.84656	-124.3623	47.458908	34.347862	-206.87271	1.3554963	1.5885774	6.2020555	-10.59798	121.99599	173.30453	102.70327186584473
4	-883.58386	176.11523	-526.1207	-1187.6313	-594.39825	109.45662	-502.84265	-889.4767	200.0	200.0	15999	-144.91783	48.930775	-17.210804	-255.67685	-144.9026	48.958363	-14.6733885	-255.66452	1.0985768	1.6662422	7.736392	-10.3519535	143.46631	221.38364	137.62197875976562
5	-729.1351	273.53607	-389.6656	-1272.4087	-860.7477	418.5198	-383.2236	-1319.8502	200.0	200.0	19999	-170.46156	47.04094	-86.474686	-290.32584	-170.44444	47.031654	-85.33661	-290.61053	1.0552597	1.6278284	6.6740437	-8.983625	169.59692	313.32623	169.854416847229
6	-541.27264	248.52406	-13.444316	-1079.8002	-621.60657	524.1211	-119.28825	-1305.8242	200.0	200.0	23999	-192.78107	46.882404	-107.77202	-319.11365	-192.73717	46.90451	-107.99558	-319.96872	0.9616941	1.6898654	7.188399	-10.196566	192.1836	366.56476	202.64755082130432
7	-243.11519	227.77966	-2.4764798	-1112.5498	-620.79315	492.99222	-0.25756422	-1220.4408	200.0	200.0	27999	-202.2449	51.03268	-127.5133	-340.52228	-202.23186	51.07277	-127.5806	-340.88556	1.092803	1.7165812	7.3117085	-11.256646	201.53384	422.3595	235.6587941646576
8	-256.22467	321.93234	-1.1086321	-1213.4711	-529.6839	452.5275	-115.23967	-1217.2744	200.0	200.0	31999	-200.28062	59.23219	-115.73163	-355.11105	-200.24654	59.243225	-115.57374	-356.19223	1.0689006	1.7361909	7.9689846	-10.160475	199.59251	429.13782	273.9678111076355
9	-395.46603	468.36758	-1.1436331	-1298.544	-583.07996	435.92892	-0.046739575	-1153.7518	200.0	200.0	35999	-194.65892	68.67861	-104.06438	-364.19907	-194.63795	68.741264	-104.375595	-365.62405	1.0566189	1.7374585	8.014298	-10.083763	194.04881	404.62183	309.86854124069214
10	-220.97754	189.10222	-1.6980792	-920.2396	-521.01965	353.20682	-118.1101	-918.46405	200.0	200.0	39999	-185.74332	76.83135	-90.995	-369.5733	-185.74106	76.85514	-91.04816	-371.05988	1.0285742	1.6965331	7.712854	-8.868536	185.03381	385.93286	346.91971588134766
