Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-219.2637	138.57887	41.481434	-573.2481	92.95238	0.18680902	0.082690075	0.54078513	-0.16775441	4000	0.0038417	19238.016	0.0	-1964.7637	1.3785605	-2.6226044e-09	5.109781265258789
1	-190.34566	136.02956	15.1903	-528.4942	92.023254	-8.618418	0.28879282	-6.5094047	-8.926727	8000	0.006467618	14230.252	0.0	-1112.5254	1.3795383	2.0861626e-10	10.345181226730347
2	-185.95871	108.02298	-58.818798	-508.55356	93.7619	-14.748455	0.21700586	-10.887675	-14.855215	12000	0.0039168773	10205.87	0.0	-810.56934	1.3806138	-7.1525574e-10	15.420935869216919
3	-184.01706	99.088585	-15.9493885	-473.00824	90.84091	-19.86238	0.13021606	-15.421928	-19.911068	16000	0.001772237	9161.788	0.0	-759.4404	1.3813328	1.1920929e-09	20.498228549957275
4	-209.55716	110.59516	-55.27873	-480.51077	95.2381	-24.8148	0.1813751	-21.324484	-24.85099	20000	-0.0023093403	11028.525	0.0	-887.04004	1.382019	2.6524067e-09	25.680593013763428
5	-171.50757	98.7898	-1.3118756	-494.58954	91.209305	-30.152575	0.0419094	-28.867075	-30.17095	24000	0.0004075377	7164.135	0.0	-528.3042	1.3820981	-1.6093255e-09	30.717017889022827
6	-155.83064	110.517715	30.487967	-467.25937	93.90476	-34.392582	0.06127913	-32.27511	-34.40833	28000	0.0010047538	5812.338	0.0	-299.16113	1.3825456	2.0861626e-10	35.84396767616272
7	-193.37003	94.3246	-58.83831	-385.66678	99.625	-37.61094	1.2030509	-10.9163065	-37.688793	32000	0.0026297236	6125.176	0.0	-533.1094	1.3826749	-2.384186e-10	40.859612464904785
8	-166.42079	107.846214	23.419788	-436.90857	90.95349	-41.90508	0.377882	-32.060474	-41.945023	36000	-0.0007132467	6002.1416	0.0	-325.45117	1.3829509	8.9406965e-10	45.91764736175537
9	-181.81247	109.87838	-42.979538	-415.2391	93.47619	-45.4374	0.28745988	-39.669754	-45.464386	40000	-0.0007851889	6405.051	0.0	-407.4619	1.3833025	1.2218953e-09	51.22965383529663
