Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-1239.3146	296.83636	-868.37024	-1714.3818	-516.41046	595.71545	-0.84495324	-1424.4384	200.0	200.0	3999	-44.34374	30.54304	6.158051	-110.70127	-44.409653	30.52933	5.4769764	-110.94523	0.03599775	1.1284839	4.4227653	-8.194151	43.950016	19.97875	36.38979887962341
2	-1212.4099	248.49876	-774.98376	-1732.9368	-135.78531	104.86033	-0.12089353	-376.08313	200.0	200.0	7999	-104.80548	42.86111	17.434612	-197.05966	-104.80915	42.858257	16.408512	-197.20564	0.9466016	1.5367874	6.343175	-10.055662	102.66868	111.43833	86.54155254364014
3	-711.4408	564.34204	-1.8929167	-1698.211	-105.906105	61.698254	-0.16849655	-226.4154	200.0	200.0	11999	-120.21548	71.970375	51.16133	-255.23749	-120.24109	71.9238	48.367943	-254.95085	1.3889817	1.7592999	6.8991613	-11.950728	116.1187	179.763	139.162091255188
4	-103.92522	57.896435	-0.7552473	-248.95023	-159.54514	64.64856	-114.30094	-305.4788	200.0	200.0	15999	-77.89688	92.565155	53.34201	-274.71295	-77.87784	92.57822	55.196682	-274.66086	1.24302	1.7794962	7.677127	-10.2218895	74.12567	130.00403	191.65157437324524
5	-141.07681	60.880848	-1.9503362	-285.2683	-164.56631	76.81864	-2.2557964	-238.75241	200.0	200.0	19999	-54.62537	80.272446	30.747864	-274.22748	-54.60431	80.29042	32.770206	-274.3966	0.75220615	1.7050488	7.6930666	-10.661763	52.145454	82.45125	241.96673965454102
6	-155.94472	83.13959	-2.6066246	-245.8281	-109.02541	83.62754	-0.73569196	-240.15108	200.0	200.0	23999	-48.342113	74.940155	21.966171	-263.382	-48.356	74.95234	21.895527	-265.23914	0.53180426	1.6201013	7.7164135	-9.276163	46.537704	65.05047	295.9236009120941
7	-156.66765	71.32346	-2.4920623	-327.9441	-96.93824	69.69005	-0.8621617	-229.10033	200.0	200.0	27999	-44.67382	73.32353	15.590597	-266.29016	-44.68409	73.3353	16.305311	-264.983	0.40071422	1.5452752	7.8202825	-10.378889	43.144398	62.30448	350.2676694393158
8	-145.59555	88.48277	-2.8529093	-255.60167	-180.45654	75.07745	-119.717575	-334.13654	200.0	200.0	31999	-41.75282	72.52407	14.260219	-274.14175	-41.759026	72.525986	14.781295	-273.67926	0.33117712	1.4988472	8.2387495	-9.181884	40.417843	56.210052	404.40618777275085
9	-159.87665	87.49804	-1.4644185	-313.48175	-142.30075	87.66916	-0.047093086	-358.081	200.0	200.0	35999	-38.763077	70.73264	12.270256	-278.5054	-38.768883	70.735435	11.812069	-278.0023	0.32167977	1.4543353	7.623999	-8.629288	37.56487	50.799843	460.2855920791626
10	-154.52737	79.30917	-1.7962602	-323.66025	-121.88436	50.134792	-2.798365	-225.77638	200.0	200.0	39999	-36.084686	68.45825	11.706531	-278.5217	-36.08677	68.467384	10.842049	-277.8993	0.26206246	1.4110719	7.8619266	-9.070099	35.021248	45.03436	515.9685282707214
