Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-1279.7849	314.34576	-750.153	-1746.1758	-1411.5415	95.79593	-1261.401	-1551.9612	200.0	200.0	3999	-22.262133	16.370676	2.6111789	-58.501144	-22.290115	16.32727	2.3712888	-58.47372	22.15722	16.08693	13.85237193107605
2	-1276.6262	283.94412	-855.1007	-1791.8025	-1560.1781	56.926113	-1457.5283	-1642.7537	200.0	200.0	7999	-65.15772	28.294178	0.8668171	-114.88631	-65.157	28.29482	0.9514166	-114.85423	63.663357	46.286953	31.02814745903015
3	-1355.3013	262.0104	-869.3735	-1654.2318	-1605.029	46.167496	-1489.2292	-1655.9492	200.0	200.0	11999	-91.49634	35.716164	4.58897	-150.84053	-91.49715	35.71885	4.274032	-150.73529	89.04839	91.83789	48.8136990070343
4	-1588.652	67.45891	-1354.0088	-1654.3914	-1593.6072	63.14522	-1460.4751	-1654.7421	200.0	200.0	15999	-111.4828	34.960144	-14.938923	-188.99393	-111.48294	34.961292	-14.225948	-189.04066	109.79333	126.506935	67.81881976127625
5	-1500.4083	217.7134	-904.9644	-1650.262	-1558.4379	102.62208	-1340.7656	-1654.0969	200.0	200.0	19999	-141.5823	29.2359	-70.018486	-220.36346	-141.58643	29.220013	-70.82888	-220.11983	140.22162	206.37425	88.05934357643127
6	-1566.3896	79.515945	-1335.8988	-1653.108	-1425.3435	247.46454	-1030.0308	-1653.905	200.0	200.0	23999	-177.20454	30.57221	-93.776436	-250.99434	-177.1895	30.554045	-94.27774	-250.95851	176.31613	291.80603	109.90728783607483
7	-1472.2258	208.54465	-1064.7725	-1648.8477	-1470.1635	159.55528	-1214.4135	-1644.1826	200.0	200.0	27999	-212.25307	31.255207	-116.130035	-275.0473	-212.26308	31.26554	-114.99929	-274.38995	211.71829	449.30106	130.08361554145813
8	-1156.0946	256.77856	-781.9385	-1647.668	-1043.5082	171.94218	-719.1314	-1364.3164	200.0	200.0	31999	-237.91286	30.996426	-159.01044	-299.63284	-237.91171	30.991964	-158.46347	-299.15112	235.40381	558.9975	152.92365622520447
9	-1004.1315	248.9709	-679.9943	-1489.616	-1142.4878	285.03836	-793.1925	-1501.8365	200.0	200.0	35999	-243.93094	39.57488	-165.38692	-330.55283	-243.93388	39.588264	-167.60036	-331.03937	240.84416	529.3847	172.9862596988678
10	-949.28937	347.65048	-506.59192	-1515.9828	-874.277	379.49707	-499.42548	-1434.2574	200.0	200.0	39999	-257.93625	41.156452	-185.1854	-352.28754	-257.93497	41.175896	-185.01613	-352.31693	255.34735	627.23773	192.34952044487
