Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-1215.9578	253.71397	-753.486	-1716.6289	-1300.1311	273.84857	-682.921	-1558.2943	200.0	200.0	3999	-25.786835	18.138634	4.220096	-71.302635	-25.769592	18.155825	2.9277518	-71.22564	25.43952	7.952776	20.833929538726807
2	-1246.5964	289.2178	-865.80927	-1816.2922	-839.713	737.7373	-7.540913	-1592.5509	200.0	200.0	7999	-64.90857	30.426638	2.6410894	-119.56355	-64.91034	30.418825	2.6013565	-119.87999	63.01454	42.50032	50.62601923942566
3	-658.2854	572.4191	-2.2885718	-1789.0215	-133.5599	99.20962	-1.4372501	-360.91302	200.0	200.0	11999	-88.48694	41.402542	12.153267	-166.29274	-88.48779	41.39749	13.802047	-166.73177	85.58539	86.37258	81.2545473575592
4	-166.47214	106.691795	-0.985656	-388.10855	-139.58577	121.21995	-1.0002863	-358.5681	200.0	200.0	15999	-80.40916	65.62166	18.452496	-204.80205	-80.41181	65.61622	18.516722	-205.09108	77.701675	97.05933	113.06362557411194
5	-192.16623	110.975655	-0.6214009	-433.76456	-166.75824	92.521675	-2.209714	-338.88544	200.0	200.0	19999	-67.78081	76.284294	23.02581	-227.98894	-67.78495	76.279594	22.993105	-227.96098	64.84223	99.12828	142.69250321388245
6	-136.04837	83.907486	-1.1911149	-353.24924	-106.67915	63.389793	-2.2224069	-239.01341	200.0	200.0	23999	-56.407555	77.79259	25.337233	-244.1042	-56.403946	77.796364	25.036734	-244.5227	53.899162	77.94537	171.20522260665894
7	-150.64743	88.59787	-1.4007705	-365.2646	-132.1848	61.470974	-4.695916	-235.85873	200.0	200.0	27999	-48.28	74.82102	21.05001	-255.18083	-48.28481	74.81986	20.403927	-255.28206	45.96615	69.11604	200.05226039886475
8	-128.20186	78.454	-3.3057334	-249.66083	-87.16329	76.80268	-3.5444477	-245.52713	200.0	200.0	31999	-42.193764	71.3719	16.709736	-262.27158	-42.19785	71.36958	16.180515	-262.03717	40.391376	63.286724	232.77208423614502
9	-140.57448	87.201645	-2.655571	-255.38338	-148.2911	76.46186	-3.859935	-291.19577	200.0	200.0	35999	-37.77316	68.78989	15.12938	-264.18604	-37.77277	68.79133	16.352327	-263.84314	36.207726	51.054066	262.07619428634644
10	-143.98746	80.92983	-3.4481719	-304.95572	-158.92056	88.5357	-8.947023	-240.85402	200.0	200.0	39999	-34.241894	66.84494	16.385242	-265.72656	-34.241436	66.83817	15.788368	-266.77484	32.572037	46.25688	295.65092754364014
