Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-1249.9099	299.97424	-737.01526	-1842.9269	-438.40942	312.96063	-125.265236	-975.22015	200.0	200.0	3999	-41.251373	28.869696	0.65153396	-111.72037	-41.254307	28.867773	0.29749787	-110.71911	0.3071856	1.1866649	5.445999	-9.694754	40.73837	19.699505	38.23250126838684
2	-1207.4816	248.24551	-860.3715	-1835.7482	-156.51068	53.39458	-116.9617	-250.7028	200.0	200.0	7999	-105.93965	38.62402	-3.7315903	-210.5551	-105.94773	38.62943	-6.927027	-210.76642	1.138371	1.518997	6.8516493	-11.893564	104.206825	106.22376	87.7960000038147
3	-743.1251	618.8967	-0.4943358	-1807.752	-295.27066	414.63806	-2.5225852	-1508.603	200.0	200.0	11999	-135.09972	60.411198	-5.2590356	-267.11697	-135.09424	60.430733	-4.249497	-267.43054	1.5356019	1.6179838	7.6866503	-11.374546	132.06146	199.19293	147.3618040084839
4	-152.40782	133.39317	-0.9391699	-517.50806	-133.85442	84.29378	-0.7156431	-257.965	200.0	200.0	15999	-117.05261	81.09926	-2.5271919	-290.7665	-117.04711	81.11693	-1.6023309	-291.0865	1.2586066	1.6717683	9.200164	-8.968126	114.50133	178.93729	203.0855793952942
5	-152.24791	83.7652	-1.1590108	-325.81693	-127.46681	89.47954	-0.6655306	-317.813	200.0	200.0	19999	-97.38311	86.858986	3.96463	-296.6667	-97.3868	86.86705	5.332054	-295.351	1.1021806	1.6322916	8.136675	-10.085291	95.18626	164.58427	254.4339725971222
6	-173.54475	107.57237	-0.71223044	-354.9189	-144.09851	46.09384	-118.443184	-239.25829	200.0	200.0	23999	-81.06477	85.94031	7.398242	-297.45694	-81.06698	85.939865	3.350221	-298.20377	0.8190571	1.6655303	8.745718	-9.660163	79.238235	118.469666	307.48460125923157
7	-125.868835	78.74245	-1.0021905	-243.90195	-103.70274	87.117805	-0.21426305	-309.37228	200.0	200.0	27999	-69.41582	83.50647	8.2868185	-297.77322	-69.4181	83.50339	5.0528197	-297.38745	0.6378858	1.6026189	8.250734	-11.0406475	67.92179	102.64256	362.0756416320801
8	-160.19296	103.58445	-1.4012275	-370.2512	-120.509254	74.95841	-0.49775872	-246.2161	200.0	200.0	31999	-60.771614	80.386635	4.670689	-297.53665	-60.77425	80.38358	2.4513426	-295.46198	0.48606396	1.5531025	8.392115	-9.484798	59.51597	87.10491	416.5660238265991
9	-178.45221	118.6794	-1.9727912	-367.27246	-146.98949	108.21457	-1.1778487	-371.67432	200.0	200.0	35999	-55.285645	78.3648	7.0219946	-294.09082	-55.288124	78.36394	2.9098375	-291.63608	0.42116758	1.4955345	8.583069	-10.522377	54.207825	78.76856	476.422301530838
10	-155.91968	76.27315	-1.7472259	-370.6313	-167.66922	78.001274	-115.82797	-348.80753	200.0	200.0	39999	-51.05726	77.92981	4.679946	-297.15552	-51.059826	77.92719	1.972469	-295.71927	0.3812207	1.4501024	8.225169	-10.067425	50.119427	73.86553	533.8788590431213
