Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-1327.7043	287.90012	-796.99066	-1731.3243	-1441.4811	49.827908	-1364.8638	-1505.2668	200.0	200.0	3999	-25.895823	15.360507	0.04581519	-80.97846	-25.88427	15.37413	0.25078428	-82.263405	25.266302	7.6889653	23.217461347579956
2	-1237.6218	289.46796	-777.44794	-1761.0234	-460.955	536.0097	-10.005085	-1510.133	200.0	200.0	7999	-66.110954	26.87814	-1.2689302	-118.74461	-66.11167	26.88241	-2.5492516	-119.81163	64.285965	43.806343	53.77955412864685
3	-760.76624	569.98	-0.45829824	-1603.589	-387.51596	556.97253	-0.03270963	-1493.0258	200.0	200.0	11999	-94.85882	36.440372	4.732515	-163.89958	-94.85946	36.45751	5.499804	-165.79024	92.13347	92.78007	84.47601294517517
4	-167.08809	87.59665	-1.3906248	-349.00073	-151.23149	79.19935	-1.7776407	-294.3154	200.0	200.0	15999	-94.25231	64.166214	10.33429	-210.03807	-94.25418	64.183136	10.072101	-211.28093	91.636696	115.057785	115.94491052627563
5	-212.85124	193.22922	-1.144658	-941.62964	-610.6602	526.4627	-115.924576	-1282.3275	200.0	200.0	19999	-86.4567	78.530685	11.906013	-248.0319	-86.45931	78.53384	10.23969	-246.4372	83.41731	136.52325	145.80381059646606
6	-421.84058	556.32043	-1.7302958	-1649.0099	-73.84379	59.001534	-1.4467467	-127.524826	200.0	200.0	23999	-80.87538	84.73083	10.722145	-273.26944	-80.87742	84.73217	10.988352	-271.95837	77.59355	138.71529	174.52267360687256
7	-132.78334	72.86341	-0.91745687	-350.0319	-121.08716	52.862724	-0.9738241	-236.85509	200.0	200.0	27999	-75.08372	88.46713	16.719202	-285.68176	-75.08346	88.48243	16.38711	-284.73703	72.2035	127.181465	202.79003977775574
8	-137.22513	72.87232	-0.9727306	-313.27164	-180.7408	95.89376	-2.519464	-353.10657	200.0	200.0	31999	-66.65314	87.01492	17.452375	-287.34396	-66.655655	87.020454	16.759119	-287.70364	63.755848	118.24454	231.9973750114441
9	-139.84068	69.767494	-1.8466388	-271.36526	-152.86429	81.11049	-5.729551	-304.00882	200.0	200.0	35999	-59.62485	83.718704	17.517822	-289.9057	-59.62734	83.72197	15.8892	-290.22214	57.426846	105.80361	261.9429519176483
10	-157.54565	96.33506	-1.1144239	-335.82935	-118.662254	50.086216	-1.4741365	-224.98811	200.0	200.0	39999	-55.98052	79.0432	18.492373	-289.59854	-55.982185	79.05137	15.271809	-291.33057	53.944866	93.71163	296.4842312335968
