Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	-252.6073	146.1496	-39.25801	-608.8918	85.5	-0.13594122	0.23166335	0.62549007	-0.627259	4000	-2.2023917e-08	24941.387	-0.014940498	-675.8594	0.0067952857	0.0	4.516288995742798
1	-222.8209	120.17394	-52.12152	-554.91644	89.5	-2.337065	0.61879635	1.1234456	-3.8764832	8000	1.4066696e-07	18528.623	-0.0136096785	-628.2832	0.0069944826	0.0	8.406405448913574
2	-157.90642	90.07801	-27.45603	-404.0899	101.76923	-4.0894446	1.3474702	3.7375965	-7.334983	12000	5.6028364e-09	8928.16	-0.010256942	-413.66016	0.0043859743	0.0	12.953125953674316
3	-164.08417	79.56228	-58.054737	-370.13614	92.093025	-7.2700553	0.63222015	-2.1272097	-9.586284	16000	1.704693e-08	8366.619	-0.010674789	-618.76807	0.0063851373	0.0	16.88386821746826
4	-137.74228	58.306267	-43.949825	-295.57388	85.804344	-10.643994	1.3884293	2.1456845	-13.938607	20000	2.18153e-08	5923.8564	-0.01068642	-490.0371	0.004369218	0.0	20.91812777519226
5	-123.65044	69.68087	8.749603	-310.64954	89.72727	-14.377762	0.9918783	-3.858478	-17.696178	24000	-7.748604e-10	4757.08	-0.012479033	-351.21143	0.0043285186	0.0	24.90206289291382
6	-118.87483	39.035973	-66.19741	-253.51186	91.25581	-17.424767	1.2966754	-3.7233787	-20.616198	28000	-8.4877016e-08	3151.5898	-0.0115107335	-286.6399	0.0062382305	0.0	28.847134828567505
7	-109.88285	58.908062	-2.3750389	-357.43967	96.21951	-20.528961	0.881192	-12.799741	-23.493782	32000	4.732609e-08	3013.714	-0.015356113	-204.97852	0.003960184	0.0	32.812363147735596
8	-90.408455	38.64831	-14.667281	-212.91281	99.225	-23.048141	1.1825391	-5.3194714	-25.958593	36000	6.556511e-09	1719.0225	-0.015014248	-111.22925	0.0066082147	0.0	36.7808837890625
9	-93.00121	47.998184	-12.908199	-274.23557	98.925	-24.976734	0.89163446	-13.001556	-27.775059	40000	-3.9219856e-08	1909.8442	-0.014467911	-110.09595	0.007064001	0.0	41.30232858657837
