Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-1274.5901	310.8322	-756.0409	-1811.7871	-902.5822	735.972	-1.0196846	-1538.3309	200.0	200.0	3999	-41.245705	29.925734	13.00144	-106.28662	40.35507	13.782625	17.808116674423218
2	-1131.1282	276.46692	-856.498	-1742.3705	-121.02987	53.351902	-4.271668	-242.24698	200.0	200.0	7999	-88.51488	41.787537	38.00223	-175.75244	85.17056	50.213875	41.09474730491638
3	-729.46985	604.9044	-0.52666354	-1647.6833	-169.79842	109.68043	-0.2704082	-341.4475	200.0	200.0	11999	-89.34557	71.30507	82.93842	-216.97168	84.19106	63.055626	66.0331666469574
4	-134.22305	87.11356	-0.9005749	-354.22275	-170.56554	97.25575	-5.263081	-374.9697	200.0	200.0	15999	-40.34131	84.20599	92.10725	-219.72768	35.676304	43.0007	90.14146423339844
5	-140.15794	83.16101	-3.1139743	-344.94318	-170.6464	81.164795	-117.3215	-373.68207	200.0	200.0	19999	-20.425726	68.27672	60.032948	-210.20744	17.540688	23.66877	114.4937469959259
6	-156.55243	95.31638	-9.178356	-347.6323	-126.78679	72.73965	-7.9394712	-246.28313	200.0	200.0	23999	-20.052032	62.59162	44.26754	-203.45241	17.895765	18.350458	139.08164191246033
7	-155.10745	82.77245	-7.9410744	-362.38547	-128.2523	90.02596	-11.30228	-248.53767	200.0	200.0	27999	-22.152842	61.736885	33.25896	-210.43446	20.36222	19.01755	163.36816811561584
8	-148.13791	69.61292	-3.0276644	-251.28773	-159.15611	103.73485	-2.8739085	-346.95078	200.0	200.0	31999	-21.422985	61.998383	35.20917	-219.30325	19.659649	19.162798	187.8689579963684
9	-153.24759	60.72129	-10.987049	-251.093	-149.16312	70.59322	-2.584585	-246.19386	200.0	200.0	35999	-19.488749	60.46158	35.17998	-225.26418	17.938593	17.075993	212.24278783798218
10	-165.1046	54.807224	-118.07673	-250.12808	-158.23177	75.28555	-2.1900601	-241.59227	200.0	200.0	39999	-18.914354	58.203278	22.698627	-225.05643	17.53593	15.692543	236.673921585083
