Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-1260.1013	323.55084	-759.4173	-1797.9674	-1482.2312	171.91092	-1178.6234	-1657.9458	200.0	200.0	3999	-26.18662	19.45711	3.1918619	-72.27188	-26.183666	19.458597	2.7661936	-72.1808	25.907885	8.931563	23.64504384994507
2	-1264.4814	322.7668	-894.1694	-1795.7573	-141.43437	109.819786	-0.350555	-374.1724	200.0	200.0	7999	-69.808	30.57447	1.9545186	-124.22725	-69.80497	30.576275	1.4998724	-124.58348	68.18299	49.87204	55.850823163986206
3	-642.49	523.76227	-1.5263791	-1607.9979	-166.36621	106.97634	-4.4254513	-353.46094	200.0	200.0	11999	-95.56486	42.46957	7.6595945	-166.75903	-95.56895	42.463627	7.4102964	-166.90417	92.736664	98.13675	88.31753754615784
4	-166.32996	76.63942	-114.19501	-373.0823	-133.21281	122.64836	-0.92050153	-300.38513	200.0	200.0	15999	-88.65271	66.49293	12.189728	-208.21594	-88.64562	66.50557	14.506826	-208.0881	86.22179	109.76397	116.52321934700012
5	-159.25652	102.31711	-0.6721634	-348.0139	-188.22429	78.61079	-114.2965	-358.98563	200.0	200.0	19999	-75.11192	79.99105	16.83305	-236.73055	-75.099686	80.00218	17.890991	-236.85074	72.126045	109.48815	145.12295508384705
6	-159.7281	74.81829	-0.8285503	-351.3895	-106.7603	83.96799	-0.5077683	-251.84009	200.0	200.0	23999	-62.228443	83.052635	17.19325	-252.32132	-62.225975	83.05404	18.25269	-252.43608	59.396393	94.674904	174.9007444381714
7	-143.17473	75.525764	-1.6372108	-313.0707	-156.09569	71.08762	-6.2712297	-236.04245	200.0	200.0	27999	-51.830067	78.91195	16.324621	-254.48126	-51.830055	78.90596	18.059835	-255.04977	49.315777	81.08308	212.31262302398682
8	-123.78252	97.714516	-5.3693914	-253.31194	-116.31399	64.44982	-7.32287	-245.58885	200.0	200.0	31999	-46.41322	73.3919	15.825857	-254.92653	-46.41683	73.39267	15.251408	-255.59996	44.02353	69.70376	245.5029456615448
9	-133.94601	68.314125	-7.9766493	-254.10803	-117.5546	63.888096	-11.481783	-249.48703	200.0	200.0	35999	-43.413975	69.22852	17.242954	-254.9775	-43.417995	69.22123	15.383664	-254.68524	41.71382	55.858482	279.33272075653076
10	-123.57445	69.133736	-12.009196	-364.20853	-206.31363	88.40447	-124.584984	-395.06396	200.0	200.0	39999	-39.97338	66.24999	15.686297	-255.16455	-39.978245	66.246284	14.356759	-254.6073	38.38751	50.224087	312.7087576389313
