Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	-212.74698	132.46259	9.318707	-538.1289	90.63636	0.16095716	0.1352246	0.57445484	-0.29909456	4000	-1.9013882e-08	18737.812	-0.013533327	-4464.2666	0.0047611124	0.0	5.366588830947876
1	-153.67735	70.60089	-8.947263	-361.65793	91.25581	-18.159056	3.8851678	-9.318127	-71.53605	8000	8.165836e-09	5850.3657	-0.012511285	-4464.5166	0.003492783	0.0	9.716220617294312
2	-141.52626	64.850296	1.0966512	-287.26328	90.295456	-78.5994	16.971668	-30.344805	-239.83838	12000	-6.28829e-09	1402.4242	-0.013787004	-117.9458	0.005116985	0.0	14.031107902526855
3	-130.55798	69.97828	-36.611427	-391.33807	93.97619	-70.41606	10.613513	-32.00212	-187.8233	16000	5.662441e-09	1720.7607	-0.014069998	-304.526	0.003925772	0.0	18.42943239212036
4	-116.70577	71.28055	34.208977	-490.2208	96.82927	-73.458374	8.6201	-37.21656	-139.30614	20000	-7.56979e-09	1722.0938	-0.016329944	-264.4978	0.004082994	0.0	22.82622241973877
5	-93.15369	35.31333	-15.779038	-182.47633	100.10256	-64.16432	8.313195	-47.923855	-154.32718	24000	-4.9591065e-08	693.11774	-0.014329631	-249.42004	0.0064216703	0.0	27.277394771575928
6	-81.64359	41.9713	-2.421504	-209.1649	96.65854	-53.41528	9.877962	-31.515888	-141.22493	28000	8.165836e-09	909.5156	-0.012711673	-181.44904	0.0058813845	0.0	31.792009830474854
7	-72.27994	43.86364	-4.7313776	-208.05392	110.25	-48.941986	13.934906	-29.40427	-208.40417	32000	-8.8214875e-09	833.8123	-0.020054331	-187.03284	0.006375503	0.0	36.39561128616333
8	-75.82704	58.608036	7.1563034	-250.82077	118.72727	-38.320736	14.16027	-21.246391	-132.22183	36000	-2.5629998e-09	999.8274	-0.01504951	-217.12494	0.003990778	0.0	40.98163151741028
9	-39.49289	40.286003	8.811517	-155.4517	123.9375	-40.27867	16.77007	-19.060585	-184.51836	40000	-8.8214875e-09	863.32874	-0.014905849	-293.8841	0.0065469323	0.0	46.045079708099365
