Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-1289.9128	260.66818	-763.9295	-1694.3052	-1073.7283	444.18228	-5.523988	-1368.4199	200.0	200.0	3999	-42.87381	27.522963	0.8083799	-112.961624	-42.88038	27.51733	2.20318	-112.39851	0.239953	1.0391151	4.861097	-10.914211	42.42627	20.381266	37.19459080696106
2	-1253.8322	257.77206	-964.67065	-1737.5088	-485.2165	491.02444	-0.19954309	-1236.4564	200.0	200.0	7999	-113.11008	39.10763	1.2459042	-211.22069	-113.10774	39.10437	3.050084	-213.56284	0.77406013	1.3325678	6.568998	-10.602549	111.77208	122.64486	85.20919561386108
3	-687.6213	548.1865	-117.611786	-1495.7695	-482.8172	429.13898	-117.38051	-1136.2052	200.0	200.0	11999	-153.28488	56.37113	-21.045147	-274.1916	-153.28664	56.36744	-21.056046	-275.49298	1.2067931	1.5386503	6.977163	-10.519002	150.88498	248.90111	139.33260488510132
4	-161.03076	106.59227	-1.8244953	-371.9636	-223.15166	271.0643	-1.888669	-1011.78906	200.0	200.0	15999	-133.64037	84.16211	-17.193192	-298.5544	-133.63911	84.153114	-16.006582	-298.4201	1.1960444	1.575335	8.456385	-8.990675	131.13654	235.55824	190.9947338104248
5	-127.52964	78.16623	-2.069868	-340.80106	-190.00566	102.56985	-2.19528	-337.32013	200.0	200.0	19999	-108.78483	90.3378	-10.859169	-306.80667	-108.78229	90.329704	-9.39453	-306.10165	0.95645297	1.6135342	8.0846405	-8.909357	106.68617	188.4919	245.71294403076172
6	-168.50414	67.0087	-116.13858	-324.7738	-173.85368	64.90677	-119.619316	-292.4195	200.0	200.0	23999	-89.93733	88.86513	-5.847155	-308.95908	-89.93442	88.865456	-3.3447087	-307.16556	0.7998916	1.5895696	8.039087	-10.249416	88.220406	147.03204	300.65179347991943
7	-146.98631	72.49439	-3.9551802	-317.92526	-141.14085	43.705685	-116.61518	-234.6926	200.0	200.0	27999	-76.39667	86.375916	-2.000339	-309.4633	-76.39556	86.37208	-2.0064652	-307.35208	0.682419	1.5615696	7.6752386	-10.679772	74.91651	115.3349	353.8754460811615
8	-130.28513	79.5528	-1.713446	-243.06696	-118.4468	72.46128	-1.3359421	-237.60329	200.0	200.0	31999	-65.59271	82.42322	-1.6806363	-306.04276	-65.59125	82.41958	-2.9213226	-303.16608	0.5773542	1.5372865	7.7931695	-8.763322	64.32213	93.86365	403.6962101459503
9	-132.97867	98.11625	-1.3599337	-355.5804	-106.991745	64.51213	-0.28952762	-240.9953	200.0	200.0	35999	-58.39121	79.080315	-0.94572204	-296.47137	-58.391235	79.0782	6.0208745	-295.79346	0.45519742	1.4823958	7.249835	-8.293669	57.36999	89.7863	453.023428440094
10	-140.96764	71.92852	-1.455547	-281.0928	-155.78415	53.039486	-117.021126	-243.09634	200.0	200.0	39999	-53.0811	77.185104	0.80017555	-294.73953	-53.080284	77.18397	1.9976077	-293.67123	0.38729367	1.469853	8.142423	-9.39835	52.15989	76.73325	503.98359751701355
