Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-190.70135	117.30635	43.056572	-540.5387	90.59091	0.18653458	0.08012443	0.5354511	-0.14447883	4000	-5.364418e-08	14669.956	-0.010248714	-1723.4922	1.3783892	0.009437937	0.1025	79.0	6.094095230102539
1	-163.47276	84.30458	-18.780426	-389.83334	100.30769	-8.555519	0.32772228	-5.3695693	-8.881623	8000	1.3375282e-07	7700.1646	-0.013898549	-859.09814	1.3714345	0.010322218	0.158	79.0	12.307316780090332
2	-147.52794	81.00527	9.245102	-361.09964	91.76744	-14.448887	0.4284126	-8.834985	-14.555774	12000	4.6014787e-08	6603.6895	-0.011637446	-659.0615	1.3552402	0.0095954435	0.07275	79.0	18.411417961120605
3	-158.57875	78.08436	-71.96138	-439.79208	94.87805	-19.508167	0.114970736	-17.548748	-19.553112	16000	4.172325e-08	6363.593	-0.012007992	-629.2637	1.3486001	0.015102337	0.165	42.0	24.13819646835327
4	-132.68694	78.478836	18.480322	-339.74402	96.585365	-24.431606	0.3984512	-18.987932	-24.5031	20000	-3.170967e-08	4636.449	-0.010839452	-361.6455	1.3450111	0.010360949	0.10075	79.0	30.38842749595642
5	-131.65504	72.11811	21.82282	-297.5096	103.42105	-28.323763	0.11793297	-26.34802	-28.351683	24000	-9.775162e-09	3643.431	-0.012861188	-304.74585	1.3352399	0.010423746	0.0855	79.0	36.59035325050354
6	-138.75818	86.279724	-45.64804	-401.16235	104.432434	-31.97427	0.063521564	-30.631018	-31.993584	28000	2.2172928e-08	4408.6045	-0.008569835	-327.3623	1.3185517	0.009558963	0.11375	79.0	42.69428730010986
7	-110.00002	40.99209	-51.157784	-228.5316	110.611115	-35.841354	0.02055661	-34.993	-35.851795	32000	3.695488e-09	1173.989	-0.008001547	-77.53772	1.3161389	0.015486959	0.298	14.0	47.96425414085388
8	-156.18414	93.53317	-50.693787	-393.84485	128.35484	-37.896633	0.049225036	-36.58507	-37.91183	36000	-1.8954276e-08	4187.4336	-0.010694454	-242.33691	1.25662	0.015117462	0.109	47.0	53.972416162490845
9	-108.41613	88.44391	-15.141651	-492.13422	118.454544	-41.34381	0.06443603	-40.02366	-41.35713	40000	1.2874604e-08	2752.4036	-0.00881679	-56.43042	1.2615834	0.015583605	0.23675	10.0	59.33281588554382
