Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-177.1907	115.07295	-37.0454	-520.7445	86.888885	-0.22989778	0.07293095	-0.023200147	-0.49800614	4000	0.0020958243	13454.805	0.0	-242.19531	1.3718011	-1.1473894e-09	3.9284729957580566
1	-209.87836	122.336914	-14.668633	-500.85007	92.25581	-1.4326901	0.26362166	-0.8462364	-4.7944846	8000	0.00878883	16826.164	0.0	-741.6123	1.3713785	-9.983778e-10	7.860610246658325
2	-219.10658	122.94292	-33.08498	-480.47665	93.85714	-4.631933	1.5355371	-1.8212875	-15.295224	12000	0.0068548312	16212.26	0.0	-1295.5283	1.371456	3.2782554e-10	11.803080320358276
3	-197.32693	126.06063	-51.165325	-536.76624	87.62222	-10.646551	3.725365	-4.5825458	-37.141144	16000	0.0069473847	14166.339	0.0	-1675.7842	1.3718486	8.1956386e-10	15.883668661117554
4	-206.14153	107.94402	-1.3556207	-519.3972	94.2381	-19.20399	7.1202083	-4.1454825	-63.528534	20000	0.008940501	11151.136	0.0	-1938.4844	1.37219	2.0861626e-10	19.842828512191772
5	-229.1083	122.36621	-70.74233	-525.7904	90.61364	-30.003485	12.78331	-5.4547443	-100.74855	24000	0.009262583	12825.052	0.0	-2550.372	1.3715724	2.682209e-10	23.890190362930298
6	-177.252	103.035446	-59.654472	-504.38177	88.111115	-43.876186	14.8320675	-7.040407	-145.56355	28000	0.0047629955	5521.4814	0.0	-1118.9414	1.3733208	6.109476e-10	27.90265965461731
7	-177.63278	90.78608	-31.880348	-412.87616	98.65	-51.278473	18.86032	-1.4523072	-217.6883	32000	0.0026344392	4409.664	0.0	-685.31616	1.3734301	-5.066395e-10	31.990154266357422
8	-227.11975	118.64776	-43.655792	-445.46454	99.7	-63.707165	23.620445	-13.304003	-195.2631	36000	0.0029010961	6354.067	0.0	-1597.1196	1.3725498	1.6540289e-09	36.11694526672363
9	-209.6534	105.98683	-70.75226	-455.13403	93.71429	-76.3892	27.104977	-2.1444073	-253.04735	40000	0.00981527	5260.845	0.0	-794.834	1.3724743	-4.768372e-10	40.273300647735596
