Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-198.16734	119.40993	14.384795	-456.26477	95.268295	0.052218262	0.0659859	0.43389332	-0.07290883	4000	0.0063018254	14969.371	0.0	-312.48633	1.3706737	1.7434358e-09	4.925297498703003
1	-250.11127	130.19183	-0.8640051	-485.1241	92.51163	-1.4851142	0.40807322	0.17915185	-2.2589226	8000	0.027701795	22372.145	0.0	-771.56055	1.366493	6.109476e-10	9.417181253433228
2	-234.43855	143.4256	-38.39578	-559.32025	97.21951	-4.41475	1.1682857	3.6989257	-7.0040803	12000	0.01637579	20247.725	0.0	-864.5742	1.3681936	1.5944243e-09	13.816593170166016
3	-215.99048	120.36367	-15.912677	-492.54874	90.431816	-7.698579	2.1380765	8.041226	-10.998801	16000	0.01470453	16120.804	0.0	-760.6572	1.370518	-1.3709068e-09	18.243255853652954
4	-216.68202	126.49449	-17.778336	-487.26672	96.07317	-11.364041	1.4983658	4.662209	-14.067334	20000	0.008088179	14766.62	0.0	-718.1172	1.3717732	-6.109476e-10	22.671289920806885
5	-221.47827	134.81868	13.548752	-508.73956	91.16279	-15.076698	1.0455225	-3.981066	-17.194077	24000	0.011915007	15847.773	0.0	-687.8418	1.3696655	7.4505807e-10	27.23239755630493
6	-181.0557	126.366234	30.383146	-509.6703	93.0	-18.601492	0.92200845	-8.784015	-20.424112	28000	0.008293586	10960.872	0.0	-424.63574	1.3711329	-7.1525574e-10	32.060850858688354
7	-223.25908	140.02065	-16.937227	-497.13556	96.268295	-21.32891	1.2748744	4.513062	-23.265562	32000	0.0074870717	14371.132	0.0	-610.5791	1.3724524	-4.1723253e-10	36.56229305267334
8	-181.39267	122.754295	-5.2866096	-615.4172	94.11905	-24.586147	1.8863657	-2.5596008	-26.272661	36000	0.016754873	10210.473	0.0	-404.4043	1.3703163	-5.2154064e-10	41.458641052246094
9	-211.42696	133.05649	-14.057816	-528.3534	98.15	-27.450985	0.68399805	-15.582692	-28.73875	40000	0.012394374	11774.697	0.0	-471.37988	1.370674	7.8976153e-10	46.46273922920227
