Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-191.31313	118.755936	96.50056	-413.32205	111.4	-0.17538041	0.080313474	0.15940602	-0.43336266	4000	-0.00027973455	12041.39	0.0	-166.87793	1.3743037	-5.9604643e-10	5.556484222412109
1	-170.85509	101.18945	-35.607594	-466.30032	84.93617	-1.2430425	0.16654244	-0.66864264	-2.4368737	8000	-0.0014344573	11985.363	0.0	-493.39844	1.3733516	7.4505807e-10	9.598387241363525
2	-206.48293	115.84188	-51.325317	-471.8318	81.061226	-4.054838	0.7512993	-1.8873519	-9.383287	12000	0.0059998743	16365.298	0.0	-1223.167	1.3725129	-2.9802322e-10	13.45603632926941
3	-180.64787	101.63082	-12.93669	-397.92148	83.297874	-9.0985	2.5706537	-1.7533833	-29.611721	16000	0.006959049	11306.408	0.0	-1037.7764	1.3728577	-6.2584876e-10	17.408063411712646
4	-179.0573	109.88488	-55.19526	-494.30627	88.04444	-14.671329	4.0780187	-2.8100772	-50.30434	20000	0.0024763842	10726.728	0.0	-1212.459	1.3735334	-4.4703484e-11	21.383942127227783
5	-186.1901	110.340866	15.835553	-534.4797	88.818184	-22.938957	6.145087	-5.3426924	-60.673103	24000	0.0021053613	9578.562	0.0	-1441.1626	1.3723835	-1.1026859e-09	25.327468395233154
6	-194.15375	105.52429	-7.8743997	-441.46286	91.325584	-32.905075	9.278197	-3.9484885	-104.907616	28000	0.0033004761	8516.876	0.0	-1618.0298	1.3731184	5.9604643e-10	29.273064374923706
7	-153.02895	85.771996	16.975164	-437.45496	89.86364	-42.592384	12.757951	-4.9229426	-122.43055	32000	0.00509125	4114.0977	0.0	-540.9717	1.3739398	4.4703483e-10	33.14761281013489
8	-196.84381	110.27509	43.127964	-465.7969	85.21739	-54.76654	18.462538	-3.845609	-193.51878	36000	0.0046213255	6273.256	0.0	-1067.5269	1.3732644	-6.109476e-10	36.9808144569397
9	-181.53125	95.10941	-69.79565	-462.2646	88.31111	-56.325085	20.696758	-1.1772149	-196.38794	40000	0.0016357972	4924.4824	0.0	-800.0073	1.3738837	-1.2218953e-09	40.80251502990723
