Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-1179.6628	238.40819	-860.98987	-1719.4156	-1140.3695	381.5144	-3.2055252	-1336.6614	200.0	200.0	3999	-21.317804	16.224344	0.20686631	-82.025856	-21.203672	16.304451	1.5828612	-81.427345	20.714054	9.275701	15.499558925628662
2	-1232.1516	306.29102	-646.5129	-1793.0618	-1396.6467	238.8248	-1017.96094	-1613.9412	200.0	200.0	7999	-61.50811	27.686058	7.161139	-116.91622	-61.50204	27.712042	6.5875235	-116.31143	60.070366	44.17517	35.12306833267212
3	-1265.0299	289.56287	-766.1827	-1640.6696	-1113.9495	302.69473	-843.8692	-1651.452	200.0	200.0	11999	-89.57118	30.607218	19.687159	-152.96223	-89.56549	30.641296	18.297455	-152.5812	87.10832	103.08278	56.42442965507507
4	-871.1367	567.14655	-14.67736	-1607.5222	-571.4766	430.6726	-270.04712	-1231.7125	200.0	200.0	15999	-107.80297	30.608932	-5.472248	-170.76814	-107.81018	30.725891	-4.531479	-169.25168	105.60174	138.49887	77.15801644325256
5	-294.16302	175.35516	-135.20068	-905.7663	-158.90004	136.83499	-7.8767643	-512.85547	200.0	200.0	19999	-126.5133	33.1071	-58.945793	-205.92674	-126.48898	33.23834	-58.92758	-202.96906	124.766655	169.04202	97.35052824020386
6	-241.82199	121.03661	-8.822803	-529.83795	-237.92188	126.58421	-8.705408	-410.2489	200.0	200.0	23999	-137.663	47.90542	-61.866753	-255.91956	-137.611	48.13867	-63.64845	-252.21782	135.91782	209.01701	118.6494836807251
7	-282.15887	120.791695	-126.92943	-529.99054	-263.64548	79.499405	-128.04828	-380.65656	200.0	200.0	27999	-145.19118	60.353756	-65.56848	-294.1865	-145.14114	60.653343	-64.9059	-286.90533	143.65009	250.14636	137.42059564590454
8	-502.72192	528.76154	-7.0056148	-1521.1384	-396.71344	562.9522	-6.5769405	-1518.6294	200.0	200.0	31999	-151.09232	70.06047	-70.144516	-315.32645	-151.05478	70.36861	-69.73049	-308.12994	149.5056	283.9664	158.15026545524597
9	-398.7382	433.47635	-6.4778957	-1510.7648	-297.3937	409.35858	-7.135934	-1491.9894	200.0	200.0	35999	-158.45877	79.99816	-71.80435	-337.42938	-158.42876	80.25913	-71.76012	-329.42316	156.89366	318.6739	178.3251953125
10	-154.62784	104.39358	-5.234585	-382.136	-219.0885	99.32575	-118.51458	-406.18268	200.0	200.0	39999	-162.72086	88.47298	-71.63891	-355.29965	-162.70198	88.68304	-72.29409	-346.43387	160.9853	339.76443	199.35448050498962
