Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-215.71103	113.48347	-1.2708391	-527.0378	90.29412	0.090668425	0.0710803	0.4743258	-0.2258726	4000	-5.3405763e-08	14014.544	-0.01399615	-1500.9902	1.3796657	0.014379537	0.16025	79.0	7.54592490196228
1	-133.68457	67.58254	10.87871	-376.4501	88.48889	-8.775959	0.19561732	-3.5019536	-8.939734	8000	1.45435335e-08	5726.9033	-0.013114058	-729.4619	1.3712378	0.012849767	0.14075	79.0	13.883640050888062
2	-157.36127	92.38411	-35.096592	-444.80194	95.756096	-14.560134	0.8529545	-0.9184365	-14.720955	12000	-3.0875206e-08	7370.823	-0.013242306	-764.103	1.3543881	0.012755968	0.10275	79.0	20.052959203720093
3	-111.34053	61.24726	57.049313	-283.05026	119.78788	-20.229212	0.1469482	-19.263662	-20.307535	16000	-5.6743623e-08	2754.0073	-0.013118141	-145.30835	1.338152	0.011630853	0.139	79.0	28.399767637252808
4	-105.05418	46.63485	22.431782	-249.09027	109.916664	-22.988232	0.052237976	-22.204615	-23.02852	20000	1.66893e-08	1857.2262	-0.010629353	-152.62366	1.3224189	0.016261932	0.36875	15.0	34.17501378059387
5	-112.49754	123.65482	1.594431	-738.7225	119.030304	-25.768845	0.06925234	-24.6458	-25.805971	24000	1.001358e-08	5230.6846	-0.011651619	-167.90918	1.2798269	0.009334988	0.15825	79.0	41.01678514480591
6	-73.17957	62.678738	30.713375	-218.22023	124.90625	-28.820124	0.03939071	-28.077599	-28.849052	28000	7.56979e-09	1400.9757	-0.0086796675	-13.220093	1.2433728	0.0092410855	0.117	79.0	47.818976640701294
7	-107.956474	87.53719	-0.059515093	-296.6668	146.11111	-29.844095	0.040871397	-28.966202	-29.873764	32000	1.1742115e-08	2625.5825	-0.0098032635	-91.971924	1.1913198	0.010702028	0.074	79.0	54.79440999031067
8	-62.9587	69.976906	43.663937	-209.29239	177.83333	-32.042263	0.33639848	-30.13523	-32.24119	36000	3.4570693e-09	1955.336	-0.008035425	-91.66028	1.2272227	0.015000351	0.216	21.0	64.18799138069153
9	-39.04298	84.56377	115.60939	-238.85037	299.69232	-29.37055	4.128583	3.1836207	-31.520517	40000	-4.196167e-08	1774.5955	-0.009078857	-486.57275	1.1943076	0.0033368736	0.10075	79.0	74.91545963287354
