Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-1107.7073	274.63226	-737.3707	-1703.8583	-1525.8628	53.719032	-1437.0953	-1620.498	200.0	200.0	3999	-29.239983	24.189304	9.206845	-86.647	28.863302	12.363948	12.96966290473938
2	-1225.4899	246.63951	-865.4015	-1736.1735	-1626.7366	27.736856	-1566.4163	-1652.2745	200.0	200.0	7999	-81.07777	36.331657	7.2732515	-148.6047	78.581154	41.57661	29.11607027053833
3	-1441.0813	295.74026	-834.3137	-1688.923	-1597.6224	49.596756	-1473.0703	-1652.1205	200.0	200.0	11999	-108.36758	43.287663	22.610247	-191.07512	105.41186	73.2304	45.79927396774292
4	-1165.6559	552.85834	-133.31743	-1647.7544	-163.62898	118.007774	-8.516423	-365.3286	200.0	200.0	15999	-130.62708	41.150337	-29.404932	-233.42532	128.5973	94.94369	62.8367874622345
5	-196.08354	124.21166	-0.842011	-391.31128	-138.09966	84.2928	-2.7407212	-250.65762	200.0	200.0	19999	-149.81221	45.759533	-76.04513	-267.58417	147.74112	116.65874	80.01612782478333
6	-162.8973	109.32167	-2.9903328	-383.801	-162.9549	79.06774	-1.8388132	-255.42601	200.0	200.0	23999	-145.22636	60.256504	-59.135155	-288.7066	142.94162	111.267	97.10210657119751
7	-139.06665	75.78118	-3.554987	-254.49733	-114.49855	102.43356	-2.0704143	-255.80943	200.0	200.0	27999	-130.75764	70.74001	-43.737946	-296.82214	128.45892	98.92702	114.01614093780518
8	-182.40636	77.18162	-116.520706	-377.25806	-145.54646	86.52086	-1.5821294	-348.29807	200.0	200.0	31999	-113.2987	75.919624	-29.669924	-300.92712	111.101425	84.93845	131.0679497718811
9	-153.57161	72.999664	-4.564462	-342.2818	-132.65411	64.23968	-2.2543495	-240.57964	200.0	200.0	35999	-95.83395	77.79384	-16.178104	-300.24506	93.65883	73.896286	148.23739767074585
10	-137.66106	65.5067	-2.851864	-243.23584	-129.30759	35.76362	-114.24626	-236.21037	200.0	200.0	39999	-79.69686	78.573166	-7.2231393	-293.32422	77.63388	59.830795	165.47076511383057
