Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-1156.2136	316.10117	-839.49915	-1792.913	-834.24396	114.15576	-667.01605	-1051.1614	200.0	200.0	3999	-35.88155	28.531288	1.1045568	-126.033714	-35.83236	28.60887	0.7563729	-123.45023	0.22386281	1.0835532	6.358619	-8.182455	35.506603	25.152325	24.112059354782104
2	-1146.341	281.74036	-857.36926	-1851.7654	-1567.5671	50.44705	-1481.0116	-1638.8492	200.0	200.0	7999	-101.54517	37.19268	-6.7924876	-196.53828	-101.52267	37.30541	-5.9496613	-195.78082	1.15536	1.4225725	5.5307617	-10.376725	100.509636	126.501595	54.98030066490173
3	-1291.7513	279.30664	-809.27203	-1671.285	-1410.7572	46.246758	-1367.0568	-1502.4794	200.0	200.0	11999	-148.81978	44.875458	-29.793541	-249.66365	-148.7823	44.98471	-31.847612	-246.67825	1.2569599	1.4468979	6.1229205	-11.44549	147.8702	259.80136	87.11762380599976
4	-1355.2991	125.84369	-1050.8657	-1513.6425	-1489.6465	23.18503	-1463.5353	-1538.4895	200.0	200.0	15999	-197.65366	37.075478	-68.52869	-293.968	-197.65875	36.999058	-64.569	-291.97037	0.86365837	1.5076008	6.8737726	-11.208617	197.83522	412.77444	119.54083371162415
5	-802.1465	388.19064	-137.9111	-1280.3741	-251.35818	88.11753	-138.83498	-392.31082	200.0	200.0	19999	-250.16028	30.410614	-176.53412	-330.3761	-250.14313	30.564034	-174.34285	-328.6868	0.69317365	1.4590733	8.694505	-8.556213	250.3728	627.8092	152.4614486694336
6	-552.37616	277.4494	-5.034479	-902.3858	-632.2259	315.1721	-3.6141584	-844.6694	200.0	200.0	23999	-280.78375	31.257029	-219.39093	-356.6733	-280.7497	31.69077	-218.09673	-355.5924	0.9813505	1.4751923	7.3699236	-10.405631	280.6025	743.90424	188.05790376663208
7	-482.29752	335.6023	-4.1421304	-780.80414	-778.8896	56.077145	-656.58014	-867.7409	200.0	200.0	27999	-290.35687	38.137733	-219.25351	-377.36884	-290.31335	38.67093	-220.48474	-372.87064	1.1323467	1.4680704	7.2988486	-11.057492	290.063	856.7512	229.41035175323486
8	-631.257	365.1734	-3.032362	-964.0222	-798.1927	267.7197	-3.228142	-982.9789	200.0	200.0	31999	-294.12787	43.533627	-216.4973	-401.3649	-294.08334	44.058617	-217.96254	-391.56064	0.9617146	1.4178896	5.742811	-10.465623	294.18298	905.7536	265.0322206020355
9	-589.3209	379.49658	-3.329608	-1020.9888	-797.8394	236.87921	-133.30067	-1015.8207	200.0	200.0	35999	-300.72177	48.280228	-218.1757	-420.8044	-300.6815	48.829575	-218.862	-413.78503	0.8076047	1.3684258	5.7632504	-9.802795	301.1134	907.0421	299.1949589252472
10	-456.03525	308.3112	-4.6347203	-982.7894	-647.7239	305.6081	-369.18375	-1221.8708	200.0	200.0	39999	-304.9943	53.93725	-216.66748	-435.373	-304.95236	54.455414	-217.57692	-422.92798	0.76333576	1.3302025	5.221949	-10.444362	305.5322	973.86395	337.4118776321411
