Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-1297.398	265.5562	-792.15485	-1838.7339	-1498.4086	54.74809	-1389.8367	-1549.3945	200.0	200.0	3999	-34.67943	23.975952	3.2837563	-85.15204	-35.035145	23.892754	2.8908875	-85.57175	-0.28125885	0.9005825	3.2957633	-7.701889	34.79868	29.046612	31.53536057472229
2	-1310.786	338.98343	-869.182	-1814.6278	-1573.1401	50.738373	-1485.8022	-1626.6656	200.0	200.0	7999	-98.10495	35.197945	4.538253	-163.27725	-98.15462	35.25668	3.22618	-163.7701	1.0732092	1.5453621	4.7166467	-9.522503	96.4644	102.29129	71.12669920921326
3	-1402.9962	249.3543	-846.5928	-1797.9779	-1337.4683	120.99424	-1111.564	-1503.4634	200.0	200.0	11999	-140.96153	47.446682	21.846764	-220.28775	-140.96909	47.485176	20.214745	-220.39923	1.2700169	1.5968605	5.6888256	-10.867805	138.80904	211.06331	114.67151951789856
4	-1168.5764	189.19217	-774.0285	-1471.1683	-435.59515	311.31268	-13.195495	-853.8867	200.0	200.0	15999	-166.13173	52.952335	-2.5483856	-271.13248	-166.11732	52.978233	-2.4838367	-271.35287	0.9112195	1.6197674	8.011934	-10.819739	164.97543	285.92462	154.4951491355896
5	-594.0377	434.2434	-4.4261165	-1303.1523	-1079.0618	485.7631	-113.81248	-1413.077	200.0	200.0	19999	-194.60551	52.691444	-95.40334	-311.44	-194.61295	52.674595	-95.43884	-311.57666	0.888139	1.5589591	6.63976	-10.335877	193.75403	391.65433	194.79306745529175
6	-918.3729	458.68695	-126.60034	-1445.9011	-371.24115	95.83005	-265.46204	-508.94226	200.0	200.0	23999	-215.05675	55.730515	-118.40849	-341.385	-215.0692	55.721874	-118.221985	-341.57278	0.8335019	1.5656463	6.2832336	-10.01491	214.3875	470.619	234.46427059173584
7	-155.9179	112.00709	-1.372852	-383.2157	-177.53757	126.076324	-0.1503843	-444.58893	200.0	200.0	27999	-224.82994	65.31722	-115.3104	-365.9178	-224.83336	65.28594	-115.71237	-366.041	1.0305228	1.708215	7.1562114	-10.573491	224.218	538.962	273.3133409023285
8	-306.07953	167.87889	-126.47298	-760.6659	-198.01239	114.24806	-0.22694565	-384.58197	200.0	200.0	31999	-222.30827	79.445305	-103.99167	-383.61026	-222.30818	79.44688	-104.194115	-383.61307	1.0021219	1.7304094	7.101186	-8.871216	221.63844	522.0696	309.7384638786316
9	-291.07858	141.968	-7.253643	-573.64966	-186.95552	84.14537	-118.16008	-380.32452	200.0	200.0	35999	-210.39935	88.41583	-85.59342	-389.04202	-210.39993	88.429474	-85.84706	-388.53873	1.4023583	1.9303201	8.811644	-10.829308	209.17862	498.43893	349.09414172172546
10	-179.5391	130.76372	-3.9204419	-517.2639	-218.52219	107.806114	-114.381516	-391.66864	200.0	200.0	39999	-188.05164	92.77934	-65.748344	-387.95953	-188.04971	92.77214	-65.863525	-387.42957	1.7391034	2.0195637	10.103262	-9.668984	186.4747	423.05203	388.1153063774109
