Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	-321.5098	154.53496	-53.73354	-674.94434	88.86667	-0.5010859	0.1658341	1.2581241	-1.2854203	4000	2.449751e-08	38492.41	-0.011593681	-1020.85156	0.008292644	0.0	5.238436460494995
1	-244.01132	109.24259	-48.586353	-450.91138	89.61364	-2.8439717	0.91042644	0.28690767	-4.9525895	8000	1.2814999e-08	20752.86	-0.013408965	-686.06445	0.007450758	0.0	9.284061670303345
2	-200.49023	124.06067	-1.5601366	-446.98645	92.04651	-5.301226	1.3634882	0.20488605	-8.529651	12000	5.427003e-08	14937.218	-0.011769093	-557.7988	0.006940233	0.0	13.251512050628662
3	-156.92455	92.777016	66.43243	-387.86948	133.06667	-8.0113945	1.4797243	-2.1988635	-11.399639	16000	8.642673e-09	6271.0347	-0.011499628	-217.41162	0.006046361	0.0	18.794838666915894
4	-143.66406	92.83298	-0.4330571	-422.8351	101.46154	-9.144265	2.0350988	2.5830617	-13.393005	20000	6.437302e-08	7000.565	-0.010683593	-405.79395	0.0056057284	0.0	22.792423963546753
5	-148.20372	97.36083	-3.9313288	-392.66757	107.62162	-11.899738	2.0222468	4.0613112	-16.052887	24000	-3.218651e-09	7697.892	-0.0115563655	-481.60107	0.005339147	0.0	26.818548917770386
6	-152.96915	99.480644	-32.073143	-448.5144	110.05556	-15.21769	1.6967257	-0.5973842	-19.252455	28000	2.5272369e-08	7369.4116	-0.0121589415	-484.72705	0.004954949	0.0	30.96548843383789
7	-126.12798	78.2116	32.30009	-347.50568	106.37838	-18.783222	1.147296	-7.4908204	-22.349918	32000	-2.682209e-08	4592.5483	-0.012607637	-286.063	0.006287016	0.0	35.05880355834961
8	-98.15204	56.53098	-32.42701	-311.6851	98.35	-21.625723	0.88932914	-10.843096	-24.935608	36000	-3.3974647e-08	2625.107	-0.011998378	-161.89282	0.0058515817	0.0	39.1291401386261
9	-74.952484	40.71837	2.4018204	-186.02155	113.2	-23.636007	1.0434326	-15.455257	-26.879583	40000	2.7775764e-08	1287.45	-0.010103108	-46.671997	0.0057242573	0.0	43.65097093582153
