Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	-263.32855	136.16783	-42.95201	-554.65076	93.7619	0.6864458	0.3510762	2.7644405	0.112810284	4000	-1.1467934e-07	25764.004	-0.011273947	-462.51953	0.005636427	0.0	4.7044289112091064
1	-180.21457	90.95744	-72.98879	-373.84845	90.11364	-0.76394063	0.23731884	-0.21567295	-2.9374707	8000	3.6358834e-08	11924.395	-0.013820795	-394.083	0.0052106525	0.0	8.694472789764404
2	-179.20808	98.511505	0.10367744	-465.6577	97.439026	-2.5330698	0.54725236	-1.0887915	-7.0477285	12000	-7.975102e-08	12269.116	-0.01450869	-567.47266	0.0043652854	0.0	12.700082540512085
3	-149.92146	80.040276	-26.94208	-364.99594	96.07317	-5.5908694	0.7839977	-2.88015	-10.9789095	16000	1.1324882e-08	7525.028	-0.010513603	-540.3701	0.0030746968	0.0	16.69735622406006
4	-126.54153	59.338104	-13.015706	-336.14395	88.568184	-9.295164	1.0641493	-3.6855955	-17.551641	20000	-3.385544e-08	5530.3	-0.010259171	-592.8794	0.004648864	0.0	20.663713693618774
5	-138.36024	64.271255	-45.518005	-279.91724	93.57143	-13.711966	2.0138235	-6.8166847	-27.215425	24000	-2.5749207e-08	5064.941	-0.011976956	-761.5298	0.0049456386	0.0	24.708531141281128
6	-131.51758	92.74245	54.548176	-411.11295	101.38461	-20.001434	2.2316372	-7.341263	-36.072365	28000	4.2915342e-09	5016.873	-0.01513985	-680.8589	0.0057293796	0.0	28.75012445449829
7	-121.00736	88.93123	0.462171	-465.49478	99.975	-24.937943	3.8505814	-6.289681	-48.07024	32000	-2.5987624e-08	4946.8594	-0.017667282	-622.95703	0.004894284	0.0	32.81931495666504
8	-102.36235	61.565998	12.129408	-292.14688	97.51219	-31.98802	3.4001477	-13.122543	-57.796383	36000	-2.6226044e-09	2426.7463	-0.013912389	-302.9519	0.006073245	0.0	36.81351351737976
9	-96.606804	43.29109	-21.249624	-222.3253	100.75676	-37.23082	4.994722	-12.639166	-68.00388	40000	2.503395e-09	1346.2068	-0.01221831	-62.883545	0.0058809365	0.0	41.20845627784729
