Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-228.10406	161.10727	-18.90004	-674.2873	101.69231	-0.12793988	0.049971722	0.05834347	-0.30637532	4000	-3.5762786e-09	21534.818	-0.013672099	-416.17383	1.3654373	0.010225128	0.17975	79.0	10.502779483795166
1	-201.76843	133.67192	59.02885	-493.59274	123.21875	-1.3567532	0.5748652	0.36665294	-2.8047795	8000	4.4345857e-08	11977.546	-0.008461918	-259.33496	1.3720978	0.007085528	0.069	79.0	23.073673486709595
2	-153.8693	109.14668	-29.194258	-549.3762	94.45238	-3.1410856	0.5880272	1.4551193	-4.275607	12000	-3.0755995e-08	11395.572	-0.00895038	-448.83398	1.370195	0.008714458	0.06975	79.0	34.141167879104614
3	-131.61292	81.731285	-11.116243	-362.6738	104.60526	-5.76204	0.5703453	-0.8613882	-7.4094586	16000	7.8201296e-08	5930.947	-0.008152911	-348.86865	1.3561742	0.008009867	0.0365	79.0	43.80125665664673
4	-132.6586	88.99107	-6.0327272	-485.3262	106.189186	-8.487709	0.7813579	-0.94787955	-10.560094	20000	-4.196167e-08	6418.864	-0.011675272	-403.67334	1.3183888	0.013599634	0.1085	79.0	53.427130699157715
5	-168.34175	117.485565	17.098183	-445.29593	173.17392	-10.83657	2.015917	-4.6672835	-13.580111	24000	-1.6093255e-09	6824.962	-0.014501049	-313.22998	1.3060572	0.015075899	0.08975	57.0	67.1100378036499
6	-171.14317	112.47827	-33.146416	-505.4412	125.29032	-14.288557	1.1550119	-5.917103	-16.71292	28000	-2.7120113e-09	9347.174	-0.0053795436	-690.1543	1.2840669	0.0069601703	0.01675	79.0	77.21371006965637
7	-115.08294	86.27155	-16.899866	-375.29388	143.25926	-18.515902	1.2745671	-8.18823	-20.790388	32000	-6.6161157e-09	3875.1182	-0.009806989	-200.83984	1.2636467	0.009880907	0.08625	79.0	87.89664721488953
8	-273.11087	115.08949	-59.762173	-510.46454	171.82608	-21.232933	1.2047489	-11.900252	-23.220505	36000	2.336502e-08	11320.58	-0.007936528	-778.042	1.204933	0.008012642	0.0465	79.0	99.33558559417725
9	-196.74858	128.44069	4.4382715	-426.4762	161.66667	-25.418274	1.2477139	-15.35185	-27.482452	40000	1.8835069e-08	7695.0425	-0.008840467	-386.06348	1.1960822	0.008314612	0.068	79.0	110.02082943916321
